"anio","iso3","pib_per_capita","cambio_relativo"
"1938","BEL","7702","0.295106776525979"
"1939","BEL","8209","0.380359845300151"
"1940","BEL","7272","0.222801412476879"
"1941","BEL","6947","0.168152009416513"
"1942","BEL","6371","0.0712964519926014"
"1943","BEL","6228","0.0472507146460399"
"1944","BEL","6554","0.102068269715823"
"1945","BEL","6907","0.161425929039852"
"1946","BEL","7291","0.225996300655793"
"1947","BEL","7651","0.286531024045737"
"1948","BEL","8008","0.346561291407432"
"1949","BEL","8278","0.391962333949891"
"1950","BEL","8706","0.463931393980158"
"1951","BEL","9161","0.540440558264671"
"1952","BEL","9035","0.519253405078191"
"1953","BEL","9274","0.559441735328737"
"1954","BEL","9610","0.615940810492685"
"1955","BEL","10010","0.68320161425929"
"1956","BEL","10237","0.721372120396839"
"1957","BEL","10353","0.740877753489154"
"1958","BEL","10268","0.726584832688751"
"1959","BEL","10533","0.771145115184126"
"1960","BEL","11081","0.863292416344375"
"1961","BEL","11561","0.944005380864301"
"1962","BEL","12087","1.03245333781739"
"1963","BEL","12532","1.10728098200773"
"1964","BEL","13295","1.23558096519253"
"1965","BEL","13643","1.29409786446948"
"1966","BEL","13989","1.35227845972759"
"1967","BEL","14461","1.43164620817219"
"1968","BEL","15009","1.52379350933244"
"1969","BEL","15969","1.68521943837229"
"1970","BEL","16914","1.84412308727089"
"1971","BEL","17486","1.94030603665714"
"1972","BEL","18336","2.08323524466117"
"1973","BEL","19399","2.26198083067093"
"1974","BEL","20153","2.38876744577098"
"1975","BEL","19831","2.33462249873886"
"1976","BEL","20916","2.51706742895578"
"1977","BEL","21025","2.53539599798218"
"1978","BEL","21605","2.63292416344375"
"1979","BEL","22094","2.71515049604843"
"1980","BEL","23060","2.87758533714478"
"1981","BEL","22760","2.82713973431983"
"1982","BEL","23071","2.87943500924836"
"1983","BEL","23071","2.87943500924836"
"1984","BEL","23644","2.97578611064402"
"1985","BEL","23873","3.0142929208004"
"1986","BEL","24221","3.07280982007735"
"1987","BEL","24772","3.16546157726585"
"1988","BEL","25905","3.35597780393476"
"1989","BEL","26690","3.48797713132672"
"1990","BEL","27412","3.60938288212544"
"1991","BEL","27848.3041644736","3.68274830409848"
"1992","BEL","28199.5737762424","3.74181499516435"
"1993","BEL","27857.2494401235","3.68425247017379"
"1994","BEL","28706.5005739567","3.82705575482708"
"1995","BEL","29370.0870816957","3.93863915952509"
"1996","BEL","29820.2994882708","4.01434328035493"
"1997","BEL","30894.2827975895","4.19493573189667"
"1998","BEL","31480.7434485821","4.2935502688048"
"1999","BEL","32571.6744997198","4.47699251718846"
"2000","BEL","33719.7698385542","4.6700470554152"
"2001","BEL","33923.3420447507","4.7042781309485"
"2002","BEL","34419.6937518547","4.78774066787534"
"2003","BEL","34588.4760210267","4.8161217455905"
"2004","BEL","35740.3524626094","5.00981208384217"
"2005","BEL","36338.3831150495","5.11037213974264"
"2006","BEL","37051.9022458534","5.23035181534445"
"2007","BEL","38082.8733357485","5.40371167576063"
"2008","BEL","38117.3484155223","5.40950872969939"
"2009","BEL","36998.6492622988","5.22139721915231"
"2010","BEL","37739.3274928982","5.34594375195867"
"2011","BEL","38130","5.41163611905162"
"2012","BEL","38173.2339164272","5.4189059889738"
"2013","BEL","38169.8301651538","5.41833364135762"
"2014","BEL","38599.4240779156","5.49057072102163"
"2015","BEL","39160.3230281366","5.5848870065809"
"2016","BEL","39456.8633726728","5.63475086138772"
"2017","BEL","39940.8233942861","5.71612971149926"
"2018","BEL","40471.9145977923","5.80543376455226"
"2019","BEL","41155.526780402","5.92038452671969"
"2020","BEL","38763.4425749273","5.51815076087561"
"2021","BEL","40970.8057833041","5.88932331987626"
"2022","BEL","41872.3928492211","6.04092699667414"
"1900","BOL","1462","0"
"1901","BOL","1513","0.0348837209302326"
"1902","BOL","1462","0"
"1903","BOL","1458","-0.00273597811217507"
"1904","BOL","1460","-0.00136798905608759"
"1905","BOL","1510","0.0328317373461013"
"1906","BOL","1562","0.0683994528043776"
"1907","BOL","1568","0.0725034199726402"
"1908","BOL","1616","0.105335157318742"
"1909","BOL","1651","0.129274965800274"
"1910","BOL","1714","0.172366621067031"
"1911","BOL","1744","0.192886456908345"
"1912","BOL","1787","0.222298221614227"
"1913","BOL","1862","0.27359781121751"
"1914","BOL","1769","0.209986320109439"
"1915","BOL","1798","0.229822161422709"
"1916","BOL","1839","0.257865937072503"
"1917","BOL","1957","0.338577291381669"
"1918","BOL","1965","0.344049247606019"
"1919","BOL","1956","0.337893296853625"
"1920","BOL","1932","0.321477428180575"
"1921","BOL","1849","0.264705882352941"
"1922","BOL","2002","0.369357045143639"
"1923","BOL","2008","0.373461012311902"
"1924","BOL","2077","0.420656634746922"
"1925","BOL","2144","0.466484268125855"
"1926","BOL","2157","0.475376196990424"
"1927","BOL","2289","0.565663474692202"
"1928","BOL","2356","0.611491108071135"
"1929","BOL","2426","0.6593707250342"
"1930","BOL","2281","0.560191518467852"
"1931","BOL","2040","0.395348837209302"
"1932","BOL","1879","0.285225718194254"
"1933","BOL","1954","0.336525307797538"
"1934","BOL","2099","0.435704514363885"
"1935","BOL","2173","0.486320109439125"
"1936","BOL","2230","0.52530779753762"
"1937","BOL","2381","0.62859097127223"
"1938","BOL","2431","0.662790697674419"
"1939","BOL","2488","0.701778385772914"
"1940","BOL","2667","0.82421340629275"
"1941","BOL","2823","0.930916552667579"
"1942","BOL","2860","0.956224350205198"
"1943","BOL","2922","0.998632010943912"
"1944","BOL","2888","0.975376196990424"
"1945","BOL","2966","1.02872777017784"
"1946","BOL","2891","0.977428180574555"
"1947","BOL","2797","0.91313269493844"
"1948","BOL","2987","1.04309165526676"
"1949","BOL","3083","1.10875512995896"
"1950","BOL","3011","1.05950752393981"
"1951","BOL","3209","1.19493844049248"
"1952","BOL","3237","1.2140902872777"
"1953","BOL","2869","0.962380300957592"
"1954","BOL","2868","0.961696306429549"
"1955","BOL","2954","1.02051983584131"
"1956","BOL","2719","0.859781121751026"
"1957","BOL","2573","0.759917920656635"
"1958","BOL","2576","0.761969904240766"
"1959","BOL","2511","0.717510259917921"
"1960","BOL","2560","0.751025991792066"
"1961","BOL","2555","0.747606019151847"
"1962","BOL","2636","0.803009575923393"
"1963","BOL","2742","0.875512995896033"
"1964","BOL","2809","0.921340629274966"
"1965","BOL","2879","0.96922024623803"
"1966","BOL","3014","1.06155950752394"
"1967","BOL","3127","1.13885088919289"
"1968","BOL","3314","1.26675786593707"
"1969","BOL","3379","1.31121751025992"
"1970","BOL","3469","1.37277701778386"
"1971","BOL","3513","1.40287277701778"
"1972","BOL","3602","1.46374829001368"
"1973","BOL","3757","1.56976744186047"
"1974","BOL","3854","1.63611491108071"
"1975","BOL","4010","1.74281805745554"
"1976","BOL","4219","1.88577291381669"
"1977","BOL","4289","1.93365253077975"
"1978","BOL","4328","1.96032831737346"
"1979","BOL","4227","1.89124487004104"
"1980","BOL","4100","1.80437756497948"
"1981","BOL","4060","1.77701778385773"
"1982","BOL","3816","1.61012311901505"
"1983","BOL","3585","1.45212038303694"
