geocodigoFundar,geonombreFundar,anio,valor_en_porcentaje
DZA,Argelia,1984,0.5136736
DZA,Argelia,1985,0.72826535
DZA,Argelia,1986,0.2664045
DZA,Argelia,1987,0.5174274
DZA,Argelia,1988,0.17717436
DZA,Argelia,1989,0.2249582
DZA,Argelia,1990,0.1267387
DZA,Argelia,1991,0.277607
DZA,Argelia,1992,0.18375748
DZA,Argelia,1993,0.35028014
DZA,Argelia,1994,0.16257899
DZA,Argelia,1995,0.18224756
DZA,Argelia,1996,0.1288034
DZA,Argelia,1997,0.074455895
DZA,Argelia,1998,0.20617963
DZA,Argelia,1999,0.1927434
DZA,Argelia,2000,0.053235486
DZA,Argelia,2001,0.065218486
DZA,Argelia,2002,0.05167676
DZA,Argelia,2003,0.228104
DZA,Argelia,2004,0.2067869
DZA,Argelia,2005,0.43411884
DZA,Argelia,2006,0.16327195
DZA,Argelia,2007,0.15990457
DZA,Argelia,2008,0.1877543
DZA,Argelia,2009,0.21278548
DZA,Argelia,2010,0.11513415
DZA,Argelia,2011,0.23525994
DZA,Argelia,2012,0.22453195
DZA,Argelia,2013,0.06476319
DZA,Argelia,2014,0.11750259
DZA,Argelia,2015,0.09681336
DZA,Argelia,2016,0.14580713
DZA,Argelia,2017,0.24701828
DZA,Argelia,2018,0.28842947
DZA,Argelia,2019,0.29497427
DZA,Argelia,2020,0.30043116
DZA,Argelia,2021,0.25285673
DZA,Argelia,2022,0.24182516
DZA,Argelia,2023,0.27036947
ARG,Argentina,1965,1.1026944
ARG,Argentina,1966,1.0818663
ARG,Argentina,1967,1.0765308
ARG,Argentina,1968,1.2272897
ARG,Argentina,1969,1.0651326
ARG,Argentina,1970,1.3533598
ARG,Argentina,1971,1.2702763
ARG,Argentina,1972,1.2349532
ARG,Argentina,1973,2.2839267
ARG,Argentina,1974,4.342596
ARG,Argentina,1975,5.64054
ARG,Argentina,1976,5.2805696
ARG,Argentina,1977,4.9611993
ARG,Argentina,1978,7.0858197
ARG,Argentina,1979,8.312162
ARG,Argentina,1980,10.958725
ARG,Argentina,1981,11.287144
ARG,Argentina,1982,12.366886
ARG,Argentina,1983,13.302724
ARG,Argentina,1984,14.838512
ARG,Argentina,1985,16.157017
ARG,Argentina,1986,15.482304
ARG,Argentina,1987,15.696147
ARG,Argentina,1988,11.459444
ARG,Argentina,1989,10.28527
ARG,Argentina,1990,14.31952
ARG,Argentina,1991,13.302305
ARG,Argentina,1992,13.798865
ARG,Argentina,1993,16.02163
ARG,Argentina,1994,17.144554
ARG,Argentina,1995,15.7267065
ARG,Argentina,1996,13.445457
ARG,Argentina,1997,15.912051
ARG,Argentina,1998,14.55387
ARG,Argentina,1999,12.121369
ARG,Argentina,2000,14.791438
ARG,Argentina,2001,18.851881
ARG,Argentina,2002,18.739147
ARG,Argentina,2003,17.408123
ARG,Argentina,2004,15.107036
ARG,Argentina,2005,15.17902
ARG,Argentina,2006,15.988201
ARG,Argentina,2007,12.8868475
ARG,Argentina,2008,12.720229
ARG,Argentina,2009,14.370073
ARG,Argentina,2010,13.822569
ARG,Argentina,2011,12.777892
ARG,Argentina,2012,11.961745
ARG,Argentina,2013,12.594494
ARG,Argentina,2014,12.501876
ARG,Argentina,2015,12.7179365
ARG,Argentina,2016,12.31635
ARG,Argentina,2017,12.547355
ARG,Argentina,2018,13.104081
ARG,Argentina,2019,14.213793
ARG,Argentina,2020,15.210551
ARG,Argentina,2021,13.99937
ARG,Argentina,2022,14.004058
ARG,Argentina,2023,16.293182
AUS,Australia,1965,5.5626216
AUS,Australia,1966,5.0718946
AUS,Australia,1967,4.9495487
AUS,Australia,1968,4.8654675
AUS,Australia,1969,5.086988
AUS,Australia,1970,5.421451
AUS,Australia,1971,5.8227277
AUS,Australia,1972,5.599285
AUS,Australia,1973,5.588665
AUS,Australia,1974,5.95511
AUS,Australia,1975,6.2970085
AUS,Australia,1976,5.7934213
AUS,Australia,1977,5.2697754
AUS,Australia,1978,5.508697
AUS,Australia,1979,5.1658406
AUS,Australia,1980,4.862272
AUS,Australia,1981,4.930354
AUS,Australia,1982,4.6367826
AUS,Australia,1983,4.4233117
AUS,Australia,1984,4.615918
AUS,Australia,1985,4.761565
AUS,Australia,1986,4.706491
AUS,Australia,1987,4.453812
AUS,Australia,1988,4.557184
AUS,Australia,1989,4.344282
AUS,Australia,1990,4.382939
AUS,Australia,1991,4.6554546
AUS,Australia,1992,4.6503634
AUS,Australia,1993,4.6700525
AUS,Australia,1994,4.446395
AUS,Australia,1995,4.239725
AUS,Australia,1996,4.236591
AUS,Australia,1997,4.14584
AUS,Australia,1998,4.037756
AUS,Australia,1999,4.008933
AUS,Australia,2000,3.9888778
AUS,Australia,2001,3.870762
AUS,Australia,2002,3.9314501
AUS,Australia,2003,4.0149684
AUS,Australia,2004,4.03656
AUS,Australia,2005,4.313553
AUS,Australia,2006,4.233413
AUS,Australia,2007,3.9767237
AUS,Australia,2008,3.681326
AUS,Australia,2009,3.9202657
AUS,Australia,2010,4.312805
AUS,Australia,2011,5.688442
AUS,Australia,2012,5.688193
AUS,Australia,2013,6.5121694
AUS,Australia,2014,5.9665823
AUS,Australia,2015,6.2833033
AUS,Australia,2016,7.1866975
AUS,Australia,2017,6.744328
AUS,Australia,2018,8.280843
AUS,Australia,2019,8.875714
AUS,Australia,2020,10.848229
AUS,Australia,2021,12.923943
AUS,Australia,2022,13.918374
AUS,Australia,2023,14.982515
AUT,Austria,1965,25.096405
AUT,Austria,1966,25.840193
AUT,Austria,1967,26.118929
AUT,Austria,1968,25.099167
AUT,Austria,1969,22.27537
AUT,Austria,1970,24.770256
AUT,Austria,1971,19.6523
AUT,Austria,1972,19.524149
AUT,Austria,1973,20.17739
AUT,Austria,1974,23.734526
AUT,Austria,1975,25.034246
AUT,Austria,1976,20.905321
AUT,Austria,1977,25.271303
AUT,Austria,1978,24.244625
AUT,Austria,1979,25.784454
AUT,Austria,1980,26.826015
AUT,Austria,1981,29.280653
AUT,Austria,1982,30.31977
AUT,Austria,1983,30.117786
AUT,Austria,1984,26.68983
AUT,Austria,1985,29.769283
AUT,Austria,1986,30.177652
AUT,Austria,1987,32.193813
AUT,Austria,1988,32.733353
AUT,Austria,1989,32.40866
AUT,Austria,1990,29.002949
AUT,Austria,1991,27.730646
AUT,Austria,1992,31.117105
AUT,Austria,1993,32.029507
AUT,Austria,1994,31.325548
AUT,Austria,1995,31.42617
AUT,Austria,1996,28.285664
AUT,Austria,1997,29.506138
AUT,Austria,1998,29.778776
AUT,Austria,1999,31.975573
AUT,Austria,2000,32.591774
AUT,Austria,2001,30.667883
AUT,Austria,2002,30.20616
AUT,Austria,2003,25.237972
AUT,Austria,2004,27.274899
AUT,Austria,2005,27.495369
AUT,Austria,2006,28.128284
AUT,Austria,2007,30.249714
AUT,Austria,2008,30.77213
AUT,Austria,2009,33.781616
AUT,Austria,2010,31.314478
AUT,Austria,2011,30.305704
AUT,Austria,2012,35.76177
AUT,Austria,2013,35.3089
AUT,Austria,2014,36.303062
AUT,Austria,2015,34.274372
AUT,Austria,2016,35.3048
AUT,Austria,2017,34.455837
AUT,Austria,2018,34.361984
AUT,Austria,2019,35.472965
AUT,Austria,2020,38.188835
AUT,Austria,2021,35.835052
AUT,Austria,2022,36.06654
AUT,Austria,2023,40.080193
BRA,Brasil,1965,27.548725
BRA,Brasil,1966,27.618214
BRA,Brasil,1967,27.880291
BRA,Brasil,1968,25.555754
BRA,Brasil,1969,25.05622
BRA,Brasil,1970,27.117094
BRA,Brasil,1971,26.37442
BRA,Brasil,1972,27.116016
BRA,Brasil,1973,26.067352
BRA,Brasil,1974,26.414951
BRA,Brasil,1975,27.490095
BRA,Brasil,1976,28.666958
BRA,Brasil,1977,30.686188
BRA,Brasil,1978,30.963718
BRA,Brasil,1979,32.51719
BRA,Brasil,1980,35.243515
BRA,Brasil,1981,36.3235
BRA,Brasil,1982,37.79666
BRA,Brasil,1983,41.02851
BRA,Brasil,1984,43.019447
BRA,Brasil,1985,43.810577
BRA,Brasil,1986,42.815575
BRA,Brasil,1987,42.589603
BRA,Brasil,1988,44.04565
BRA,Brasil,1989,44.49607
BRA,Brasil,1990,44.936474
BRA,Brasil,1991,45.52199
BRA,Brasil,1992,46.04086
BRA,Brasil,1993,46.058407
