"anio","tipo_energia","valor_en_twh","porcentaje"
2012,"Gas natural","33203.137","20.9899606024389"
2013,"Gas natural","33720.777","20.9929293558385"
2014,"Gas natural","33961.7","20.9496566658673"
2015,"Gas natural","34752.11","21.3011692286153"
2016,"Gas natural","35229.348","21.3875784847289"
2017,"Gas natural","36517.57","21.6897763172364"
2018,"Gas natural","38321.438","22.1986694475489"
2019,"Gas natural","39084.453","22.4034125456463"
2020,"Gas natural","38714.09","22.9377785928384"
2021,"Gas natural","40239.016","22.7544726184395"
2022,"Gas natural","40086.875","22.2928785521358"
2023,"Gas natural","40101.74","21.8860037427885"
1800,"Petróleo","0","0"
1810,"Petróleo","0","0"
1820,"Petróleo","0","0"
1830,"Petróleo","0","0"
1840,"Petróleo","0","0"
1850,"Petróleo","0","0"
1860,"Petróleo","0","0"
1870,"Petróleo","6","0.0698324022346369"
1880,"Petróleo","33","0.34667507091081"
1890,"Petróleo","89","0.833030003553322"
1900,"Petróleo","181","1.49201784220552"
1910,"Petróleo","397","2.53258766283753"
1920,"Petróleo","889","4.91791187185679"
1930,"Petróleo","1756","8.74942561341234"
1940,"Petróleo","2653","11.6006879833266"
1950,"Petróleo","5444","19.0589553283854"
1960,"Petróleo","11097","26.5390287579781"
1965,"Petróleo","18012.52","34.2942966373543"
1966,"Petróleo","19427.398","35.3537614907867"
1967,"Petróleo","20779.828","36.6581242576988"
1968,"Petróleo","22511.285","37.7842182214658"
1969,"Petróleo","24446.174","38.7492126368719"
1970,"Petróleo","26672.713","40.0433466323472"
1971,"Petróleo","28117.908","40.7874682344601"
1972,"Petróleo","30331.375","41.9794142398546"
1973,"Petróleo","32722.135","43.0908202993972"
1974,"Petróleo","32224.648","42.2043994121606"
1975,"Petróleo","31992.346","41.6181518204255"
1976,"Petróleo","34059.953","42.3014359494032"
1977,"Petróleo","35189.734","42.3301711221774"
1978,"Petróleo","36703.98","42.6497652830519"
1979,"Petróleo","37182.266","41.9447098497492"
1980,"Petróleo","35561.332","40.4091139366619"
1981,"Petróleo","34295.703","39.0760586578853"
1982,"Petróleo","33270.605","38.0273778857202"
1983,"Petróleo","33099.758","37.2231731876408"
1984,"Petróleo","33624.367","36.3270101802999"
1985,"Petróleo","33686.312","35.5058001885218"
1986,"Petróleo","34717.92","35.8429499127321"
1987,"Petróleo","35513.047","35.4806579030938"
1988,"Petróleo","36628.914","35.379135258671"
1989,"Petróleo","37209.367","35.2887068705864"
1990,"Petróleo","37608","35.2611052058627"
1991,"Petróleo","37688.625","35.0422754699333"
1992,"Petróleo","38192.87","35.2814611315684"
1993,"Petróleo","38024.57","34.8321219157629"
1994,"Petróleo","38852.32","35.1463252590175"
1995,"Petróleo","39431.895","34.944215668108"
1996,"Petróleo","40326.613","34.7955979944784"
1997,"Petróleo","41422.08","35.3764911126767"
1998,"Petróleo","41583.832","35.2881514667358"
1999,"Petróleo","42266.777","35.2685676309114"
2000,"Petróleo","42983.43","34.9834059108878"
