"anio","iso3","valor_en_kwh_por_dolar"
"1992","BEL","2.2639506"
"1993","BEL","2.2461605"
"1994","BEL","2.285924"
"1995","BEL","2.257226"
"1996","BEL","2.356632"
"1997","BEL","2.2928057"
"1998","BEL","2.2892106"
"1999","BEL","2.1918154"
"2000","BEL","2.1502275"
"2001","BEL","2.1112509"
"2002","BEL","2.0620272"
"2003","BEL","2.122074"
"2004","BEL","2.0526755"
"2005","BEL","1.9853947"
"2006","BEL","1.939856"
"2007","BEL","1.8864037"
"2008","BEL","1.8999557"
"2009","BEL","1.7919077"
"2010","BEL","1.8594517"
"2011","BEL","1.6952581"
"2012","BEL","1.6152112"
"2013","BEL","1.6477493"
"2014","BEL","1.5041487"
"2015","BEL","1.4889379"
"2016","BEL","1.586732"
"2017","BEL","1.5758654"
"2018","BEL","1.5441464"
"2019","BEL","1.5614973"
"2020","BEL","1.4837253"
"2021","BEL","1.5545276"
"1965","BEL","3.2035673"
"1966","BEL","2.991317"
"1967","BEL","3.0221803"
"1968","BEL","3.23356"
"1969","BEL","3.3274105"
"1970","BEL","3.3100953"
"1971","BEL","3.1296866"
"1972","BEL","3.160958"
"1973","BEL","3.018952"
"1974","BEL","2.7979746"
"1975","BEL","2.6668935"
"1976","BEL","2.678172"
"1977","BEL","2.6663122"
"1978","BEL","2.7061846"
"1979","BEL","2.7206886"
"2022","BEL","1.3900087"
"1980","BEN","0.32225367"
"1981","BEN","0.30700928"
"1982","BEN","0.19545124"
"1983","BEN","0.2961151"
"1984","BEN","0.2717251"
"1985","BEN","0.29125643"
"1986","BEN","0.27767026"
"1987","BEN","0.22329395"
"1988","BEN","0.2685562"
"1989","BEN","0.27821043"
"1990","BEN","0.29308897"
"1991","BEN","0.33127856"
"1992","BEN","0.36051944"
"1993","BEN","0.3777988"
"1994","BEN","0.3935389"
"1995","BEN","0.39262953"
"1996","BEN","0.4163149"
"1997","BEN","0.43054542"
"1998","BEN","0.45060435"
"1999","BEN","0.21193181"
"2000","BEN","0.53857565"
"2001","BEN","0.5871492"
"2002","BEN","0.64901716"
"2003","BEN","0.73568624"
"2004","BEN","0.7506167"
"2005","BEN","0.6996789"
"2006","BEN","0.9285749"
"2007","BEN","1.0450224"
"2008","BEN","1.0270059"
"2009","BEN","1.1228983"
"2010","BEN","1.269422"
"2011","BEN","1.1566888"
"2012","BEN","1.0444448"
"2013","BEN","0.9913158"
"2014","BEN","0.9787312"
"2015","BEN","1.0223861"
"2016","BEN","1.200739"
"2017","BEN","1.1990442"
"2018","BEN","1.240363"
"2019","BEN","1.0547068"
"2020","BEN","1.0890656"
"2021","BEN","1.0307585"
"1965","BEN",
"1966","BEN",
"1967","BEN",
"1968","BEN",
"1969","BEN",
"1970","BEN",
"1971","BEN",
"1972","BEN",
"1973","BEN",
"1974","BEN",
"1975","BEN",
"1976","BEN",
"1977","BEN",
"1978","BEN",
"1979","BEN",
"2022","BEN",
"1980","BOL","0.9793172"
"1981","BOL","1.1134216"
"1982","BOL","1.0136977"
"1983","BOL","1.1024495"
"1984","BOL","1.0522677"
"1985","BOL","0.9540122"
"1986","BOL","1.000359"
"1987","BOL","0.9583706"
"1988","BOL","1.0608679"
"1989","BOL","1.1681631"
"1990","BOL","1.1744535"
"1991","BOL","1.094824"
"1992","BOL","1.1601408"
"1993","BOL","1.0954819"
"1994","BOL","1.1669209"
"1995","BOL","1.274869"
"1996","BOL","1.1937047"
"1997","BOL","1.2724737"
"1998","BOL","1.1211638"
"1999","BOL","1.250887"
"2000","BOL","1.277245"
"2001","BOL","1.072025"
"2002","BOL","1.1374334"
"2003","BOL","1.4843065"
"2004","BOL","1.472693"
"2005","BOL","1.3767332"
"2006","BOL","1.4404106"
"2007","BOL","1.4744003"
"2008","BOL","1.4202163"
"2009","BOL","1.3489056"
"2010","BOL","1.3089108"
"2011","BOL","1.282724"
"2012","BOL","1.4478738"
"2013","BOL","1.373577"
"2014","BOL","1.3162156"
"2015","BOL","1.315844"
"2016","BOL","1.3069931"
"2017","BOL","1.236433"
"2018","BOL","1.2268591"
"2019","BOL","1.1899825"
"2020","BOL","1.0936635"
"2021","BOL","1.1262906"
"1965","BOL",
"1966","BOL",
"1967","BOL",
"1968","BOL",
"1969","BOL",
"1970","BOL",
"1971","BOL",
"1972","BOL",
"1973","BOL",
"1974","BOL",
"1975","BOL",
"1976","BOL",
"1977","BOL",
"1978","BOL",
"1979","BOL",
"2022","BOL",
"1980","BIH",
"1981","BIH",
"1982","BIH",
"1983","BIH",
"1984","BIH",
"1985","BIH",
"1986","BIH",
"1987","BIH",
"1988","BIH",
"1989","BIH",
"1990","BIH",
"1991","BIH",
"1992","BIH","2.6888533"
"1993","BIH","2.843033"
"1994","BIH","2.946648"
"1995","BIH","4.666685"
"1996","BIH","1.9051766"
"1997","BIH","2.2392352"
"1998","BIH","2.3523598"
"1999","BIH","2.1808414"
"2000","BIH","2.340735"
"2001","BIH","2.3030138"
"2002","BIH","2.2301035"
"2003","BIH","1.8965696"
"2004","BIH","1.8658727"
"2005","BIH","1.6743355"
"2006","BIH","1.6389328"
"2007","BIH","1.495289"
"2008","BIH","1.620618"
"2009","BIH","1.9886886"
"2010","BIH","2.1385505"
"2011","BIH","2.0784554"
"2012","BIH","2.0386326"
"2013","BIH","2.0227373"
"2014","BIH","1.9362669"
"2015","BIH","1.8590298"
"2016","BIH","1.8405328"
"2017","BIH","1.7690985"
"2018","BIH","1.7325455"
"2019","BIH","1.5989065"
"2020","BIH","1.531145"
"2021","BIH","1.6615815"
"1965","BIH",
"1966","BIH",
"1967","BIH",
"1968","BIH",
"1969","BIH",
"1970","BIH",
"1971","BIH",
"1972","BIH",
"1973","BIH",
"1974","BIH",
"1975","BIH",
"1976","BIH",
"1977","BIH",
"1978","BIH",
"1979","BIH",
"2022","BIH",
"1980","BWA","2.0443642"
"1981","BWA","1.9183179"
"1982","BWA","1.6500176"
"1983","BWA","1.47771"
"1984","BWA","1.298731"
"1985","BWA","1.5513406"
"1986","BWA","1.5353408"
"1987","BWA","1.4937744"
"1988","BWA","1.5388937"
"1989","BWA","1.3040416"
"1990","BWA","1.3439093"
"1991","BWA","1.2808464"
"1992","BWA","1.4755312"
"1993","BWA","1.3738687"
"1994","BWA","1.2906948"
"1995","BWA","1.1937336"
"1996","BWA","1.0453552"
"1997","BWA","0.97536904"
"1998","BWA","1.0155412"
"1999","BWA","0.856878"
"2000","BWA","1.0715398"
"2001","BWA","1.0990171"
"2002","BWA","1.0633786"
"2003","BWA","1.016168"
"2004","BWA","0.9530031"
"2005","BWA","0.94755095"
"2006","BWA","0.91361016"
"2007","BWA","0.8473911"
"2008","BWA","0.81151694"
"2009","BWA","0.80372775"
"2010","BWA","0.74596643"
"2011","BWA","0.721669"
"2012","BWA","0.714453"
"2013","BWA","0.6383536"
"2014","BWA","0.606588"
