"anio","iso3","valor_en_gco2_por_kwh"
"2008","BOL","451.01352"
"2009","BOL","465.37842"
"2010","BOL","494.73685"
"2011","BOL","493.65298"
"2012","BOL","504.72336"
"2013","BOL","495.51855"
"2014","BOL","530.1205"
"2015","BOL","526.6667"
"2016","BOL","588.17206"
"2017","BOL","554.7445"
"2018","BOL","521.8274"
"2019","BOL","474.92624"
"2020","BOL","482.9317"
"2021","BOL","470.91934"
"2022","BOL","489.13986"
"2023","BOL","531.68726"
"1990","BOL",
"1991","BOL",
"1992","BOL",
"1993","BOL",
"1994","BOL",
"1995","BOL",
"1996","BOL",
"1997","BOL",
"1998","BOL",
"1999","BOL",
"2000","BIH","517.7373"
"2001","BIH","517.40356"
"2002","BIH","515.29193"
"2003","BIH","601.59717"
"2004","BIH","534.17126"
"2005","BIH","526.98413"
"2006","BIH","562.82916"
"2007","BIH","659.5925"
"2008","BIH","671.4383"
"2009","BIH","600.7752"
"2010","BIH","531.01"
"2011","BIH","708.6928"
"2012","BIH","700.2172"
"2013","BIH","584.9275"
"2014","BIH","653.55255"
"2015","BIH","664.02924"
"2016","BIH","685.48846"
"2017","BIH","766.0098"
"2018","BIH","660.7237"
"2019","BIH","637.19867"
"2020","BIH","711.1375"
"2021","BIH","615.9696"
"2022","BIH","670.09064"
"2023","BIH","600.00006"
"1990","BIH",
"1991","BIH",
"1992","BIH",
"1993","BIH",
"1994","BIH",
"1995","BIH",
"1996","BIH",
"1997","BIH",
"1998","BIH",
"1999","BIH",
"2000","BWA","850.87726"
"2001","BWA","849.5575"
"2002","BWA","852.17395"
"2003","BWA","855.7693"
"2004","BWA","845.36084"
"2005","BWA","858.4906"
"2006","BWA","858.5859"
"2007","BWA","855.4217"
"2008","BWA","857.1429"
"2009","BWA","854.8386"
"2010","BWA","849.05664"
"2011","BWA","854.1667"
"2012","BWA","800"
"2013","BWA","826.0869"
"2014","BWA","852.8139"
"2015","BWA","848.4848"
"2016","BWA","858.73596"
"2017","BWA","857.6159"
"2018","BWA","855.30554"
"2019","BWA","852.5897"
"2020","BWA","848.62384"
"2021","BWA","847.38947"
"2022","BWA","847.9087"
"2023","BWA",
"1990","BWA",
"1991","BWA",
"1992","BWA",
"1993","BWA",
"1994","BWA",
"1995","BWA",
"1996","BWA",
"1997","BWA",
"1998","BWA",
"1999","BWA",
"2000","BRA","89.44488"
"2001","BRA","105.73734"
"2002","BRA","97.30418"
"2003","BRA","90.67208"
"2004","BRA","101.783264"
"2005","BRA","98.891014"
"2006","BRA","95.95899"
"2007","BRA","90.91318"
"2008","BRA","113.62753"
"2009","BRA","87.37156"
"2010","BRA","114.15278"
"2011","BRA","99.76304"
"2012","BRA","128.3439"
"2013","BRA","167.8433"
"2014","BRA","192.9388"
"2015","BRA","188.6377"
"2016","BRA","149.64844"
"2017","BRA","155.87456"
"2018","BRA","136.9494"
"2019","BRA","141.93233"
"2020","BRA","133.35773"
"2021","BRA","168.05109"
"2022","BRA","105.51264"
"2023","BRA","98.34824"
"1990","BRA",
"1991","BRA",
"1992","BRA",
"1993","BRA",
"1994","BRA",
"1995","BRA",
"1996","BRA",
"1997","BRA",
"1998","BRA",
"1999","BRA",
"2000","VGB","636.36365"
"2001","VGB","666.6667"
"2002","VGB","642.8572"
"2003","VGB","642.8572"
"2004","VGB","666.6666"
"2005","VGB","687.5"
"2006","VGB","647.0588"
"2007","VGB","666.6666"
"2008","VGB","666.6666"
"2009","VGB","684.2105"
"2010","VGB","650"
"2011","VGB","684.2105"
"2012","VGB","650"
"2013","VGB","650"
"2014","VGB","650"
"2015","VGB","666.6667"
"2016","VGB","636.36365"
"2017","VGB","647.0588"
"2018","VGB","687.5"
"2019","VGB","687.5"
"2020","VGB","687.5"
"2021","VGB","647.0588"
"2022","VGB","647.0588"
"2023","VGB",
"1990","VGB",
"1991","VGB",
"1992","VGB",
"1993","VGB",
"1994","VGB",
"1995","VGB",
"1996","VGB",
"1997","VGB",
"1998","VGB",
"1999","VGB",
"2000","BRN","901.5748"
"2001","BRN","903.1007"
"2002","BRN","904.05896"
"2003","BRN","903.125"
"2004","BRN","901.8405"
"2005","BRN","901.8405"
"2006","BRN","903.03033"
"2007","BRN","902.6548"
"2008","BRN","903.5087"
"2009","BRN","903.31494"
"2010","BRN","902.3747"
"2011","BRN","903.48517"
"2012","BRN","903.30786"
"2013","BRN","904.5455"
"2014","BRN","904.4445"
"2015","BRN","902.381"
"2016","BRN","901.63934"
"2017","BRN","901.4424"
"2018","BRN","902.32556"
"2019","BRN","896.55176"
"2020","BRN","895.4704"
"2021","BRN","894.7369"
"2022","BRN","893.913"
"2023","BRN",
"1990","BRN",
"1991","BRN",
"1992","BRN",
"1993","BRN",
"1994","BRN",
"1995","BRN",
"1996","BRN",
"1997","BRN",
"1998","BRN",
"1999","BRN",
"2000","BGR","458.24094"
"2001","BGR","484.34628"
"2002","BGR","444.62924"
"2003","BGR","492.90445"
"2004","BGR","493.71375"
"2005","BGR","453.8619"
"2006","BGR","451.8046"
"2007","BGR","558.6175"
"2008","BGR","550.9103"
"2009","BGR","528.4803"
"2010","BGR","521.0102"
"2011","BGR","577.6622"
"2012","BGR","525.3982"
"2013","BGR","487.44766"
"2014","BGR","486.99915"
"2015","BGR","494.55963"
"2016","BGR","472.04132"
"2017","BGR","502.89917"
"2018","BGR","442.7005"
"2019","BGR","438.70084"
"2020","BGR","383.9063"
"2021","BGR","415.29013"
"2022","BGR","476.90164"
"2023","BGR","335.3338"
"1990","BGR","558.7112"
"1991","BGR","565.24945"
"1992","BGR","561.51245"
"1993","BGR","519.556"
"1994","BGR","507.109"
"1995","BGR","477.7911"
