"geocodigoFundar","geonombreFundar","anio","poverty_line","poverty_rate"
"SLV","El Salvador","2023","8.30000","0.29945"
"SRB","Serbia","2022","8.30000","0.10256"
"SUR","Suriname","2022","8.30000","0.20876"
"SVK","Eslovaquia","2022","8.30000","0.06615"
"SVN","Eslovenia","2022","8.30000","0.00182"
"SWE","Suecia","2022","8.30000","0.01729"
"SYR","Siria","2022","8.30000","0.87874"
"TCD","Chad","2022","8.30000","0.89487"
"TGO","Togo","2021","8.30000","0.86984"
"THA","Tailandia","2023","8.30000","0.10132"
"TON","Tonga","2021","8.30000","0.26684"
"TUN","Túnez","2021","8.30000","0.20668"
"TUR","Turquía","2022","8.30000","0.10792"
"TWN","Taiwán","2021","8.30000","0.00247"
"URY","Uruguay","2023","8.30000","0.06592"
"USA","Estados Unidos","2023","8.30000","0.01999"
"UZB","Uzbekistán","2023","8.30000","0.24630"
"VNM","Vietnam","2022","8.30000","0.21503"
"XKX","Kosovo","2021","8.30000","0.47042"
"ZMB","Zambia","2022","8.30000","0.94037"
