"geocodigoFundar","geonombreFundar","anio","categoria","indicador","porcentaje_pbi","porcentaje_total"
"DZA","Argelia","2010","Otros","Ingreso no percibido (Revenue Forgone)","3.25149","33.10239"
"DZA","Argelia","2011","Otros","Ingreso no percibido (Revenue Forgone)","4.19814","43.78127"
"DZA","Argelia","2012","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","3.25295","29.15538"
"DZA","Argelia","2012","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.18643","1.67090"
"DZA","Argelia","2012","Otros","Ingreso no percibido (Revenue Forgone)","0.25283","2.26606"
"DZA","Argelia","2013","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.00012","0.00103"
"DZA","Argelia","2013","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.15338","1.37679"
"DZA","Argelia","2013","Otros","Ingreso no percibido (Revenue Forgone)","0.16019","1.43791"
"DZA","Argelia","2014","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.59677","23.91088"
"DZA","Argelia","2014","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.05434","0.50040"
"DZA","Argelia","2014","Otros","Ingreso no percibido (Revenue Forgone)","0.00000","0.00003"
"DZA","Argelia","2015","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","4.60767","36.93770"
"DZA","Argelia","2015","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.13632","1.09285"
"DZA","Argelia","2015","Otros","Ingreso no percibido (Revenue Forgone)","0.00003","0.00023"
"DZA","Argelia","2023","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.91458","8.97200"
"DZA","Argelia","2023","Otros","Ingreso no percibido (Revenue Forgone)","0.41869","4.10730"
"DZA","Argelia","2024","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","1.04102","0.00000"
"DZA","Argelia","2024","Otros","Ingreso no percibido (Revenue Forgone)","0.35339","0.00000"
"DZA","Argelia","2025","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","1.28566","0.00000"
"DZA","Argelia","2025","Otros","Ingreso no percibido (Revenue Forgone)","0.37199","0.00000"
"ARG","Argentina","2001","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","2.55405","20.28914"
"ARG","Argentina","2001","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.82912","6.58649"
"ARG","Argentina","2001","Otros","Ingreso no percibido (Revenue Forgone)","0.05606","0.44535"
