"year","iso3","country_name_abbreviation","microd","microd_name","import_value_pc"
2020,"PER","Peru",1,"Diferenciado","61.2803248094242"
2020,"PER","Peru",2,"No diferenciado","38.7196751905758"
2020,"PHL","Philippines",1,"Diferenciado","68.7195423432746"
2020,"PHL","Philippines",2,"No diferenciado","31.2804576567253"
2020,"PLW","Palau",1,"Diferenciado","35.2974340513657"
2020,"PLW","Palau",2,"No diferenciado","64.7025659486343"
2020,"PNG","Papua New Guinea",1,"Diferenciado","64.908835964862"
2020,"PNG","Papua New Guinea",2,"No diferenciado","35.0911640351381"
2020,"POL","Poland",1,"Diferenciado","70.5576903257993"
2020,"POL","Poland",2,"No diferenciado","29.4423096742007"
2020,"PRK","Dem. People's Rep. of Korea",1,"Diferenciado","54.243556593342"
2020,"PRK","Dem. People's Rep. of Korea",2,"No diferenciado","45.756443406658"
2020,"PRT","Portugal",1,"Diferenciado","64.0302200631682"
2020,"PRT","Portugal",2,"No diferenciado","35.9697799368318"
2020,"PRY","Paraguay",1,"Diferenciado","71.2939200996732"
2020,"PRY","Paraguay",2,"No diferenciado","28.7060799003268"
2020,"PSE","State of Palestine",1,"Diferenciado","50.7150178848241"
2020,"PSE","State of Palestine",2,"No diferenciado","49.2849821151759"
2020,"PYF","French Polynesia",1,"Diferenciado","78.4936176969136"
2020,"PYF","French Polynesia",2,"No diferenciado","21.5063823030865"
2020,"QAT","Qatar",1,"Diferenciado","80.8528332046184"
2020,"QAT","Qatar",2,"No diferenciado","19.1471667953816"
2020,"ROU","Romania",1,"Diferenciado","72.2293075066087"
2020,"ROU","Romania",2,"No diferenciado","27.7706924933913"
2020,"RUS","Russian Federation",1,"Diferenciado","78.3903920445895"
2020,"RUS","Russian Federation",2,"No diferenciado","21.6096079554105"
2020,"RWA","Rwanda",1,"Diferenciado","47.44489912433"
2020,"RWA","Rwanda",2,"No diferenciado","52.55510087567"
2020,"SAU","Saudi Arabia",1,"Diferenciado","70.9974238484792"
2020,"SAU","Saudi Arabia",2,"No diferenciado","29.0025761515208"
2020,"SDN","Sudan",1,"Diferenciado","83.7306842999235"
2020,"SDN","Sudan",2,"No diferenciado","16.2693157000766"
