geocodigoFundar,geonombreFundar,anio,country_name_abbreviation,sector_bp,sector_bp_name,export_value_pc
PHL,Filipinas,2020,Philippines,5,Plásticos y gomas,1.78258193514961
LAO,Laos,2020,Lao People's Dem. Rep.,2,Alimentos procesados,6.02938060437172
NRU,Nauru,2020,Nauru,2,Alimentos procesados,0.142309772256372
USA,Estados Unidos,2020,USA,5,Plásticos y gomas,5.31286477451456
ISR,Israel,2020,Israel,5,Plásticos y gomas,6.05351285899341
PYF,Polinesia Francesa,2020,French Polynesia,6,Cueros y pieles,1.29841539778088
PAK,Pakistán,2020,Pakistan,5,Plásticos y gomas,1.70019204099965
MSR,Montserrat,2020,Montserrat,6,Cueros y pieles,0.0001662681772684
MDG,Madagascar,2020,Madagascar,5,Plásticos y gomas,0.106349540874955
PRT,Portugal,2020,Portugal,5,Plásticos y gomas,7.0215813533606
PRK,Corea del Norte,2020,Dem. People's Rep. of Korea,6,Cueros y pieles,0.0513345100049017
LSO,Lesotho,2020,Lesotho,2,Alimentos procesados,5.32680158065036
SWE,Suecia,2020,Sweden,5,Plásticos y gomas,4.00765761658998
AFG,Afganistán,2020,Afghanistan,6,Cueros y pieles,0.272778776317643
ATG,Antigua y Barbuda,2020,Antigua and Barbuda,13,Otros productos industriales,1.28847405595952
AZE,Azerbaiyán,2020,Azerbaijan,8,"Textiles, indumentaria y calzado",1.35728137096777
SLB,Islas Salomón,2020,Solomon Isds,11,Maquinaria,0.0762524504338948
CAN,Canadá,2020,Canada,11,Maquinaria,10.8469819772842
CYM,Islas Caimán,2020,Cayman Isds,4,Químicos,0.253898307556908
CHL,Chile,2020,Chile,7,Madera,6.77279093950585
CCK,Islas Cocos,2020,Cocos Isds,13,Otros productos industriales,30.2090046471397
HRV,Croacia,2020,Croatia,12,Transporte,7.34026414756545
CUB,Cuba,2020,Cuba,13,Otros productos industriales,0.636151971836104
EST,Estonia,2020,Estonia,10,Metales,7.33142303804731
FRA,Francia,2020,France,8,"Textiles, indumentaria y calzado",3.80887082965388
PSE,Palestina,2020,State of Palestine,2,Alimentos procesados,9.23996914430963
DEU,Alemania,2020,Germany,11,Maquinaria,28.320755872616
GUY,Guyana,2020,Guyana,7,Madera,1.24962217911608
HUN,Hungría,2020,Hungary,7,Madera,2.00372756135143
IRQ,Iraq,2020,Iraq,8,"Textiles, indumentaria y calzado",0.0071698106362185
ITA,Italia,2020,Italy,8,"Textiles, indumentaria y calzado",8.05044227348562
JPN,Japón,2020,Japan,11,Maquinaria,36.6968773547915
LVA,Letonia,2020,Latvia,11,Maquinaria,18.7650318755236
LBR,Liberia,2020,Liberia,3,Minerales,36.5820131732794
