"iso3","location_name_short_en","partner_code","partner_name_short_en","export_value_pca","export_value_pcb"
"PNG","Papua New Guinea","THA","Thailand",,"1.38941835938348"
"RWA","Rwanda","BWA","Botswana",,"0.00098157780273815"
"RWA","Rwanda","MEX","Mexico",,"0.00693169208247733"
"RWA","Rwanda","ZWE","Zimbabwe",,"0.00475647053970143"
"RWA","Rwanda","VCT","Saint Vincent and the Grenadines",,"0"
"RWA","Rwanda","GBR","United Kingdom",,"1.68497690655397"
"RWA","Rwanda","MYS","Malaysia",,"1.03557854519066"
"RWA","Rwanda","LVA","Latvia",,"0.00236191099657274"
"RWA","Rwanda","YEM","Yemen",,"0.0201986954342606"
"STP","Sao Tome and Principe","IND","India",,"0"
"STP","Sao Tome and Principe","PRT","Portugal",,"5.18159696421838"
"STP","Sao Tome and Principe","IRL","Ireland",,"0.123023084797282"
"STP","Sao Tome and Principe","AGO","Angola",,"1.43309447360394"
"STP","Sao Tome and Principe","ARG","Argentina",,"0"
"STP","Sao Tome and Principe","SWE","Sweden",,"0.0649046054592687"
"STP","Sao Tome and Principe","SVN","Slovenia",,"1.3388848622312"
"TZA","Tanzania","MNE","Montenegro",,"0.000490648501751714"
"TZA","Tanzania","ISL","Iceland",,"0"
"TZA","Tanzania","ROU","Romania",,"0.0962236965377378"
"TZA","Tanzania","PHL","Philippines",,"0.0552186033158606"
"TZA","Tanzania","KOR","South Korea",,"0.566180885397228"
"COG","Congo","CIV","Côte d'Ivoire",,"0.498801069757289"
"COG","Congo","HRV","Croatia",,"6.03103892668985e-05"
"COG","Congo","BEN","Benin",,"0.0365531533920763"
"COG","Congo","FRA","France",,"0.475174059211364"
"COG","Congo","KOR","South Korea",,"0.784728613272551"
"COG","Congo","MAR","Morocco",,"0.0742267630659222"
"GEO","Georgia","MNE","Montenegro",,"0.00660518504953793"
"GEO","Georgia","SRB","Serbia",,"0.00716407309140671"
"GEO","Georgia","MNG","Mongolia",,"0.0479762348835803"
"GEO","Georgia","QAT","Qatar",,"0.0419860228778339"
"GEO","Georgia","NZL","New Zealand",,"0.0114568761721723"
"GEO","Georgia","FRO","Faroe Islands",,"0"
"GEO","Georgia","DEU","Germany",,"2.39162285150924"
"GEO","Georgia","TUN","Tunisia",,"0.087382136397588"
"GEO","Georgia","NOR","Norway",,"0.04838960609465"
"GNQ","Equatorial Guinea","ITA","Italy",,"2.42669847862135"
"GNQ","Equatorial Guinea","ECU","Ecuador",,"0"
"GNQ","Equatorial Guinea","SVN","Slovenia",,"0"
"GNQ","Equatorial Guinea","ZAF","South Africa",,"0.500560090829618"
"IRQ","Iraq","MEX","Mexico",,"0"
"IRQ","Iraq","GRC","Greece",,"5.27955396237327"
"IRQ","Iraq","AUT","Austria",,"0.597160011542553"
"IRQ","Iraq","GEO","Georgia",,"0.005965052798809"
"IRQ","Iraq","NZL","New Zealand",,"5.75339771810099e-05"
"IRQ","Iraq","SVN","Slovenia",,"6.25242392575865e-05"
"IRQ","Iraq","EGY","Egypt",,"0.71305852376947"
"IRQ","Iraq","TZA","Tanzania",,"0.000346659467855747"
"IRQ","Iraq","QAT","Qatar",,"0.046764503469072"
"JOR","Jordan","CRI","Costa Rica",,"0.00470457186795045"
"JOR","Jordan","VNM","Vietnam",,"0.134830874483535"
"JOR","Jordan","BGD","Bangladesh",,"0.316247492561027"
"JOR","Jordan","MKD","North Macedonia",,"0.000487648511003485"
"JOR","Jordan","SAU","Saudi Arabia",,"11.1119883778984"
"JOR","Jordan","CIV","Côte d'Ivoire",,"0.0159136469870778"
"JOR","Jordan","QAT","Qatar",,"1.62357341920765"
"MDA","Moldova","ETH","Ethiopia",,"0.0663568735509799"
"MDA","Moldova","MOZ","Mozambique",,"0.00303166456111984"
"MDA","Moldova","CHL","Chile",,"0.0208153338800404"
"MDA","Moldova","CHN","China",,"1.38515176853662"
"MNE","Montenegro","VNM","Vietnam",,"0.0598786256284355"
"MNE","Montenegro","CIV","Côte d'Ivoire",,"0.00898877269790854"
"MNE","Montenegro","ISR","Israel",,"0.053156457474911"
"MNE","Montenegro","PER","Peru",,"0.0050504687082993"
"MNE","Montenegro","GHA","Ghana",,"0.149423528645632"
"MNE","Montenegro","CRI","Costa Rica",,"0.0206747258168507"
"MNE","Montenegro","MDA","Moldova",,"0.00226980184498298"
"MNE","Montenegro","LVA","Latvia",,"0.172988281435811"
"SMR","San Marino","HND","Honduras",,"0.0893889157295054"
"SMR","San Marino","CHN","China",,"2.14214182900332"
"TJK","Tajikistan","FIN","Finland",,"0.00174501239329746"
"TJK","Tajikistan","AFG","Afghanistan",,"6.25940009455844"
"TJK","Tajikistan","THA","Thailand",,"0.0472858163271101"
"TJK","Tajikistan","KAZ","Kazakhstan",,"18.9642916973859"
"TJK","Tajikistan","SRB","Serbia",,"0.291412194353211"
"TJK","Tajikistan","IRL","Ireland",,"0.00183898220770805"
"TUN","Tunisia","LKA","Sri Lanka",,"0.00373701452129315"
"TUN","Tunisia","MNG","Mongolia",,"0.00458228392750819"
"TUN","Tunisia","LUX","Luxembourg",,"0.0341168007009111"
"TUN","Tunisia","UZB","Uzbekistan",,"0.000567704449374059"
"TUN","Tunisia","NLD","Netherlands",,"1.68306203672059"
"TUN","Tunisia","CZE","Czech Republic",,"1.01624656778128"
"TUN","Tunisia","OMN","Oman",,"0.05266190887134"
"TUN","Tunisia","HND","Honduras",,"0.0152222754465704"
"TUN","Tunisia","UKR","Ukraine",,"0.0930369101796793"
"UMI","United States Minor Outlying Islands","NLD","Netherlands",,"6.61898308685169"
"ZAF","South Africa","CMR","Cameroon",,"0.0452708469582104"
"ZAF","South Africa","HUN","Hungary",,"0.0770580915700778"
"ZAF","South Africa","ANS","Undeclared Countries",,"3.15008314739602"
"ZAF","South Africa","ARM","Armenia",,"0.00170182376773927"
"ZAF","South Africa","LKA","Sri Lanka",,"0.186494565118629"
"ZAF","South Africa","AUT","Austria",,"0.16438725144779"
"ZAF","South Africa","POL","Poland",,"0.244891138839684"
"ASM","American Samoa","UZB","Uzbekistan",,"0.170027240109656"
"COD","Congo (Democratic Republic of the)","HTI","Haiti",,"0.000197351224019486"
"FJI","Fiji","JOR","Jordan",,"0.0134151126017554"
"GNB","Guinea-Bissau","NOR","Norway",,"0.0611586317380236"
"LKA","Sri Lanka","PAN","Panama",,"0.0766089518725818"
"LKA","Sri Lanka","CAF","Central African Republic",,"0.00894417689502274"
"PNG","Papua New Guinea","BMU","Bermuda",,"0.00128467304219192"
"CHE","Switzerland","BIH","Bosnia and Herzegovina",,"0.0310581299204012"
