"anio","letra","letra_desc_abrev","share_sectorial","id_tipo_sector","tipo_sector","share_vab"
2020,"I","Transporte y comunicaciones",0.0538745824981983,"2","Servicios",0.0610304383402659
2020,"J","Finanzas",0.0154521043320572,"2","Servicios",0.0452325461482698
2020,"K","Serv. inmobiliarios y profesionales",0.0704702426230184,"2","Servicios",0.116372170920189
2020,"LQ","Adm. pública y defensa",0.0837998755298302,"2","Servicios",0.0774625453632213
2020,"M","Enseñanza",0.108674918786105,"2","Servicios",0.0640781644965626
2020,"NO","Serv. comunitarios, sociales y personales",0.118668825464395,"2","Servicios",0.0772337965283478
2020,"P","Servicio doméstico",0.0731113307123109,"2","Servicios",0.00690642104498221
2021,"AB","Agro y pesca",0.0690837947354984,"1","Bienes",0.087323232872272
2021,"C","Petróleo y minería",0.00493886720948428,"1","Bienes",0.0429858834677277
2021,"D","Industria manufacturera",0.114582908988958,"1","Bienes",0.188520310040949
2021,"E","Electricidad, gas y agua",0.00662881466803088,"1","Bienes",0.011444688580024
2021,"F","Construcción",0.0798296071352358,"1","Bienes",0.0429022079592795
2021,"G","Comercio",0.176204914671556,"2","Servicios",0.195401501780487
2021,"H","Hotelería y restaurantes",0.0273579523369281,"2","Servicios",0.0147050829167891
2021,"I","Transporte y comunicaciones",0.0564893324813898,"2","Servicios",0.0561965320856049
2021,"J","Finanzas",0.0150381464354854,"2","Servicios",0.035727390118231
2021,"K","Serv. inmobiliarios y profesionales",0.0726426521056927,"2","Servicios",0.111597032552274
2021,"LQ","Adm. pública y defensa",0.0801525749598825,"2","Servicios",0.0743288829530571
2021,"M","Enseñanza",0.105683155826286,"2","Servicios",0.0560773173358159
2021,"NO","Serv. comunitarios, sociales y personales",0.120008846198242,"2","Servicios",0.0768485121886097
2021,"P","Servicio doméstico",0.0713584322473301,"2","Servicios",0.0059414251488798
2022,"AB","Agro y pesca",0.0637078835279759,"1","Bienes",0.0791809328091021
2022,"C","Petróleo y minería",0.00493049250366266,"1","Bienes",0.0424945668586465
2022,"D","Industria manufacturera",0.117626465550624,"1","Bienes",0.19143633650087
2022,"E","Electricidad, gas y agua",0.006272006500419,"1","Bienes",0.00977520644786335
2022,"F","Construcción",0.0824104817790845,"1","Bienes",0.0444466017370636
2022,"G","Comercio",0.177400342023681,"2","Servicios",0.195639147446179
2022,"H","Hotelería y restaurantes",0.0308949177085727,"2","Servicios",0.0218226948180529
2022,"I","Transporte y comunicaciones",0.0562388909711508,"2","Servicios",0.0551033733346518
2022,"J","Finanzas",0.0137432361134863,"2","Servicios",0.0315400397756593
2022,"K","Serv. inmobiliarios y profesionales",0.0707166850346669,"2","Servicios",0.112261366695436
2022,"LQ","Adm. pública y defensa",0.0765076226626155,"2","Servicios",0.0763647928693275
2022,"M","Enseñanza",0.101894355437649,"2","Servicios",0.0559369174562146
2022,"NO","Serv. comunitarios, sociales y personales",0.123436173817853,"2","Servicios",0.0775511516319079
2022,"P","Servicio doméstico",0.0742204463685589,"2","Servicios",0.00644687161902538
