anio,letra_desc,vab,letra
1951,Pesca,106.966,B
1951,Petróleo y minería,1692.323,C
1951,Industria manufacturera,27245.9,D
1951,"Electricidad, gas y agua",314.626,E
1951,Construcción,6634.262,F
1951,"Comercio, hoteles y restaurantes",24188.17,GH
1951,Transporte y comunicaciones,6370.441,I
1951,Finanzas,3338.185,J
1951,Act. inmobiliarias y empresariales,18443.63,K
1951,Adm. pública y defensa,11410.15,L
1951,Otros servicios,10061.77,Z
1952,Agro,11829.34,A
1952,Pesca,110.592,B
1952,Petróleo y minería,1800.508,C
1952,Industria manufacturera,26731.1,D
1952,"Electricidad, gas y agua",337.064,E
1952,Construcción,6098.358,F
1952,"Comercio, hoteles y restaurantes",22490.12,GH
1952,Transporte y comunicaciones,5933.677,I
1952,Finanzas,3480.028,J
1952,Act. inmobiliarias y empresariales,18992.91,K
1952,Adm. pública y defensa,11359.97,L
1952,Otros servicios,10304.38,Z
1953,Agro,15487.95,A
1953,Pesca,106.966,B
1953,Petróleo y minería,1931.876,C
1953,Industria manufacturera,26582.04,D
1953,"Electricidad, gas y agua",358.527,E
1953,Construcción,6070.976,F
1953,"Comercio, hoteles y restaurantes",22114.7,GH
1953,Transporte y comunicaciones,6097.858,I
1953,Finanzas,3484.919,J
1953,Act. inmobiliarias y empresariales,19456.75,K
1953,Adm. pública y defensa,11512.44,L
1953,Otros servicios,10626.63,Z
1954,Agro,15401.24,A
1954,Pesca,103.34,B
1954,Petróleo y minería,2043.925,C
1954,Industria manufacturera,28688.18,D
1954,"Electricidad, gas y agua",390.234,E
1954,Construcción,5810.847,F
1954,"Comercio, hoteles y restaurantes",23480.79,GH
1954,Transporte y comunicaciones,6391.49,I
1954,Finanzas,3604.751,J
1954,Act. inmobiliarias y empresariales,19945,K
1954,Adm. pública y defensa,11917.74,L
1954,Otros servicios,10921.09,Z
1955,Agro,16039.56,A
1955,Pesca,101.527,B
1955,Petróleo y minería,2125.063,C
1955,Industria manufacturera,32197.94,D
1955,"Electricidad, gas y agua",419.989,E
1955,Construcción,5957.536,F
1955,"Comercio, hoteles y restaurantes",25792.38,GH
1955,Transporte y comunicaciones,6719.852,I
1955,Finanzas,3839.525,J
1955,Act. inmobiliarias y empresariales,20457.66,K
1955,Adm. pública y defensa,11946.69,L
1955,Otros servicios,11304.45,Z
1956,Agro,15299.9,A
1956,Pesca,108.779,B
1956,Petróleo y minería,2179.156,C
1956,Industria manufacturera,34429.68,D
1956,"Electricidad, gas y agua",456.573,E
1956,Construcción,5779.553,F
1956,"Comercio, hoteles y restaurantes",26944.69,GH
1956,Transporte y comunicaciones,6748.268,I
1956,Finanzas,3915.337,J
1956,Act. inmobiliarias y empresariales,20921.5,K
1956,Adm. pública y defensa,12570.08,L
1956,Otros servicios,11721.14,Z
1957,Agro,15221.55,A
1957,Pesca,114.218,B
1957,Petróleo y minería,2329.842,C
1957,Industria manufacturera,37148.61,D
1957,"Electricidad, gas y agua",474.622,E
1957,Construcción,6784.863,F
1957,"Comercio, hoteles y restaurantes",28712.27,GH
1957,Transporte y comunicaciones,7115.571,I
1957,Finanzas,4022.941,J
1957,Act. inmobiliarias y empresariales,21360.92,K
1957,Adm. pública y defensa,12726.41,L
1957,Otros servicios,12093.39,Z
1958,Agro,15888.08,A
1958,Pesca,112.405,B
1958,Petróleo y minería,2495.984,C
1958,Industria manufacturera,40252.61,D
1958,"Electricidad, gas y agua",514.133,E
1958,Construcción,8052.257,F
1958,"Comercio, hoteles y restaurantes",30300.83,GH
1958,Transporte y comunicaciones,7489.188,I
1958,Finanzas,4343.309,J
1958,Act. inmobiliarias y empresariales,21959.03,K
1958,Adm. pública y defensa,12724.48,L
1958,Otros servicios,12423.04,Z
1959,Agro,15727.19,A
1959,Pesca,110.592,B
1959,Petróleo y minería,2878.495,C
1959,Industria manufacturera,36091.4,D
1959,"Electricidad, gas y agua",523.888,E
1959,Construcción,6055.329,F
1959,"Comercio, hoteles y restaurantes",26932.52,GH
1959,Transporte y comunicaciones,7237.654,I
1959,Finanzas,4379.993,J
1959,Act. inmobiliarias y empresariales,22093.3,K
