"anio","provincia_id","provincia","prop_industrial"
"2015","86","Santiago del Estero","0.140706302857324"
"2015","94","Tierra del Fuego","0.294936256207175"
"2015","90","Tucumán","0.149180085127448"
"2016","6","Buenos Aires","0.29800521383054"
"2016","2","CABA","0.130863913536448"
"2016","10","Catamarca","0.124380044888019"
"2016","22","Chaco","0.0885853794650602"
"2016","26","Chubut","0.156642519597828"
"2016","18","Corrientes","0.0857687175137448"
"2016","14","Córdoba","0.166264636553279"
"2016","30","Entre Ríos","0.150050990164568"
"2016","34","Formosa","0.0626256024190397"
"2016","38","Jujuy","0.119833641545157"
"2016","42","La Pampa","0.0462287476361628"
"2016","46","La Rioja","0.244091567724382"
"2016","50","Mendoza","0.233075103169536"
"2016","54","Misiones","0.178504986575335"
"2016","58","Neuquén","0.0637348948711394"
"2016","62","Río Negro","0.0662008796186294"
"2016","66","Salta","0.1205562062377"
"2016","70","San Juan","0.184732905930425"
"2016","74","San Luis","0.369951279864805"
"2016","78","Santa Cruz","0.0267103840520249"
"2016","82","Santa Fe","0.246034372758454"
"2016","86","Santiago del Estero","0.13396913224872"
"2016","94","Tierra del Fuego","0.278866333206633"
"2016","90","Tucumán","0.142449087882608"
"2017","6","Buenos Aires","0.300581427324356"
"2017","2","CABA","0.127430034932242"
"2017","10","Catamarca","0.128539037150691"
"2017","22","Chaco","0.0862084618437956"
"2017","26","Chubut","0.164095903646622"
"2017","18","Corrientes","0.0855767300681438"
"2017","14","Córdoba","0.170342874106448"
"2017","30","Entre Ríos","0.145829058344061"
"2017","34","Formosa","0.0626549396330364"
"2017","38","Jujuy","0.114883241319428"
"2017","42","La Pampa","0.0479268268778001"
"2017","46","La Rioja","0.225810076713815"
"2017","50","Mendoza","0.231701316093263"
"2017","54","Misiones","0.178222034290882"
"2017","58","Neuquén","0.059934921725605"
"2017","62","Río Negro","0.0676393645257082"
"2017","66","Salta","0.124029230912437"
"2017","70","San Juan","0.18022574834389"
"2017","74","San Luis","0.359281495715046"
"2017","78","Santa Cruz","0.0281196292601203"
"2017","82","Santa Fe","0.242360160884256"
"2017","86","Santiago del Estero","0.124074846293471"
"2017","94","Tierra del Fuego","0.277667038689911"
"2017","90","Tucumán","0.142044055997537"
"2018","6","Buenos Aires","0.295940900726023"
"2018","2","CABA","0.119924511791882"
"2018","10","Catamarca","0.124365119049564"
"2018","22","Chaco","0.0834641394433463"
"2018","26","Chubut","0.1576469347659"
"2018","18","Corrientes","0.0834800662859427"
"2018","14","Córdoba","0.175879742993486"
"2018","30","Entre Ríos","0.150015617767735"
"2018","34","Formosa","0.0596645005203751"
"2018","38","Jujuy","0.111254022833088"
"2018","42","La Pampa","0.048572358005764"
"2018","46","La Rioja","0.200560720050885"
"2018","50","Mendoza","0.227395687366996"
"2018","54","Misiones","0.179561956851531"
"2018","58","Neuquén","0.0546515338913145"
"2018","62","Río Negro","0.0697206083499687"
"2018","66","Salta","0.126983960009546"
"2018","70","San Juan","0.178383519234621"
"2018","74","San Luis","0.358003737286276"
"2018","78","Santa Cruz","0.0270302116595568"
"2018","82","Santa Fe","0.24256244502496"
"2018","86","Santiago del Estero","0.107813421058986"
"2018","94","Tierra del Fuego","0.265050044583539"
"2018","90","Tucumán","0.13957512330137"
"2019","6","Buenos Aires","0.282835542052383"
"2019","2","CABA","0.117577400030701"
"2019","10","Catamarca","0.124048885011215"
"2019","22","Chaco","0.0830999030404113"
"2019","26","Chubut","0.152890668060032"
"2019","18","Corrientes","0.0862477014631768"
"2019","14","Córdoba","0.157040304062511"
"2019","30","Entre Ríos","0.144231332674043"
"2019","34","Formosa","0.0607107498084116"
"2019","38","Jujuy","0.120708574817977"
"2019","42","La Pampa","0.0476889645140756"
"2019","46","La Rioja","0.196171254070805"
"2019","50","Mendoza","0.224420707434359"
"2019","54","Misiones","0.184867625089279"
"2019","58","Neuquén","0.0504005492401494"
"2019","62","Río Negro","0.0693385237537539"
"2019","66","Salta","0.124710398744734"
"2019","70","San Juan","0.17556833571175"
"2019","74","San Luis","0.343717799423847"
"2019","78","Santa Cruz","0.0272423126885044"
"2019","82","Santa Fe","0.22592972684311"
"2019","86","Santiago del Estero","0.0937437460825104"
"2019","94","Tierra del Fuego","0.238351318511329"
"2019","90","Tucumán","0.135390396931601"
"2020","6","Buenos Aires","0.285871133441248"
"2020","2","CABA","0.120594484322077"
"2020","10","Catamarca","0.11821808305051"
"2020","22","Chaco","0.0803265020099032"
"2020","26","Chubut","0.146019933472587"
"2020","18","Corrientes","0.08600180935404"
"2020","14","Córdoba","0.163293428410632"
"2020","30","Entre Ríos","0.150956129156489"
"2020","34","Formosa","0.0620031983821398"
"2020","38","Jujuy","0.134618005784918"
