"anio","exporter_iso3","geonombreFundar","clasificacion_lall","impo","prop"
"2016","TTO","Trinidad y Tobago","Manufacturas de media tecnología","486.999","0.16850568800595"
"2016","TTO","Trinidad y Tobago","Manufacturas de alta tecnología","4.95","0.00171274100281408"
"2016","TKM","Turkmenistán","Manufacturas de baja tecnología","0.364","100"
"2016","UGA","Uganda","Productos primarios","7.474","92.9370803282766"
"2016","UGA","Uganda","Manufacturas en basadas en RRNN","0.566","7.03805023625964"
"2016","UGA","Uganda","Manufacturas de baja tecnología","0.002","0.024869435463815"
"2017","AFG","Afganistán","Manufacturas de baja tecnología","4.047","8.7419536008986"
"2017","ALB","Albania","Manufacturas de media tecnología","141.556","52.6573049381568"
"2017","ALB","Albania","Manufacturas de alta tecnología","0.276","0.102669022598345"
"2017","DZA","Argelia","Productos primarios","15338.066","99.8239258788737"
"2017","AND","Andorra","Manufacturas de alta tecnología","18.068","43.7640789633039"
"2017","AND","Andorra","Manufacturas de media tecnología","21.593","52.3022889669371"
"2017","ATG","Antigua y Barbuda","Manufacturas en basadas en RRNN","1.504","5.51238821287201"
"2017","ATG","Antigua y Barbuda","Manufacturas de baja tecnología","21.407","78.4599032399941"
"2017","AZE","Azerbaiyán","Manufacturas de media tecnología","38.002","97.7794931172006"
"2017","AZE","Azerbaiyán","Manufacturas de alta tecnología","0.176","0.452849607616107"
"2017","ARM","Armenia","Manufacturas en basadas en RRNN","81.446","66.5947130440471"
"2017","ARM","Armenia","Manufacturas de baja tecnología","40.73","33.303080105641"
"2017","BRB","Barbados","Manufacturas de media tecnología","0.725","5.31641856713353"
"2017","BRN","Brunei","Manufacturas de alta tecnología","0.144","29.2089249492901"
"2017","BRN","Brunei","Manufacturas de media tecnología","0.072","14.604462474645"
"2017","CAF","Rep. Centroafricana","Manufacturas en basadas en RRNN","1.058","100"
"2017","COM","Comoras","Manufacturas de media tecnología","0.083","0.11285300556107"
"2017","COG","Congo","Productos primarios","3.438","6.79352658723102"
"2017","COG","Congo","Manufacturas en basadas en RRNN","0.765","1.51164858616397"
"2017","COG","Congo","Manufacturas de baja tecnología","31.883","63.001165846622"
"2017","COD","Rep. Dem. Congo","Manufacturas de media tecnología","0.471","74.0566037735849"
"2017","COD","Rep. Dem. Congo","Manufacturas de alta tecnología","0.165","25.9433962264151"
"2017","DMA","Dominica","Manufacturas en basadas en RRNN","6.707","83.4930909996265"
"2017","DMA","Dominica","Manufacturas de baja tecnología","0.015","0.186729739823229"
"2017","SLV","El Salvador","Manufacturas de alta tecnología","136.894","18.4973894431893"
"2017","SLV","El Salvador","Manufacturas de media tecnología","151.214","20.4323363132236"
"2017","ETH","Etiopía","Productos primarios","45.526","72.3944916197564"
"2017","ETH","Etiopía","Manufacturas de baja tecnología","14.84","23.5982571637566"
"2017","DJI","Djibouti","Productos primarios","15.998","100"
"2017","GAB","Gabón","Manufacturas de baja tecnología","18.378","1.77564874270774"
