"geocodigoFundar","geonombreFundar","cadena","share"
"AR-P","Formosa","Maní","0.02000"
"AR-P","Formosa","Olivícola","0.00000"
"AR-P","Formosa","Ovina","0.62000"
"AR-P","Formosa","Peras y Manzanas","0.00000"
"AR-P","Formosa","Pesca","0.00000"
"AR-P","Formosa","Porcina","0.91000"
"AR-P","Formosa","Sojera","0.02000"
"AR-P","Formosa","Sorgo","0.51000"
"AR-P","Formosa","Tabacalera","0.00000"
"AR-P","Formosa","Tealera","0.05000"
"AR-P","Formosa","Triguera","0.10000"
"AR-P","Formosa","Vitivinícola","0.00000"
"AR-P","Formosa","Yerba mate","0.00000"
"AR-Q","Neuquén","Algodón textil","0.11000"
"AR-Q","Neuquén","Apícola","0.58000"
"AR-Q","Neuquén","Arrocera","0.01000"
"AR-Q","Neuquén","Avícola","0.05000"
"AR-Q","Neuquén","Azucarera","0.16000"
"AR-Q","Neuquén","Bovina","0.33000"
"AR-Q","Neuquén","Caprina","15.44000"
"AR-Q","Neuquén","Cebada","0.79000"
"AR-Q","Neuquén","Cítricos dulces","0.18000"
"AR-Q","Neuquén","Fruta de carozo","0.62000"
"AR-Q","Neuquén","Frutas finas","4.25000"
"AR-Q","Neuquén","Girasol","0.03000"
"AR-Q","Neuquén","Hortícola","0.50000"
"AR-Q","Neuquén","Legumbres","0.00000"
"AR-Q","Neuquén","Limón","0.02000"
"AR-Q","Neuquén","Láctea","0.27000"
"AR-Q","Neuquén","Maicera","0.04000"
"AR-Q","Neuquén","Maní","0.13000"
"AR-Q","Neuquén","Olivícola","0.47000"
"AR-Q","Neuquén","Ovina","1.40000"
"AR-Q","Neuquén","Peras y Manzanas","12.08000"
"AR-Q","Neuquén","Pesca","0.00000"
"AR-Q","Neuquén","Porcina","0.54000"
"AR-Q","Neuquén","Sojera","0.03000"
"AR-Q","Neuquén","Sorgo","0.05000"
"AR-Q","Neuquén","Tabacalera","0.01000"
"AR-Q","Neuquén","Tealera","0.17000"
"AR-Q","Neuquén","Triguera","0.50000"
"AR-Q","Neuquén","Vitivinícola","0.49000"
"AR-Q","Neuquén","Yerba mate","0.01000"
"AR-R","Río Negro","Algodón textil","0.11000"
"AR-R","Río Negro","Apícola","1.93000"
"AR-R","Río Negro","Arrocera","0.02000"
"AR-R","Río Negro","Avícola","0.92000"
"AR-R","Río Negro","Azucarera","2.36000"
"AR-R","Río Negro","Bovina","1.04000"
"AR-R","Río Negro","Caprina","1.49000"
"AR-R","Río Negro","Cebada","2.78000"
