"cultivo","campania","q_total","share"
"Mijo","1983/84","136000","0.22043"
"Naranja","1983/84","620400","1.00555"
"Papa total","1983/84","2105580","3.41275"
"Pomelo","1983/84","145000","0.23502"
"Poroto total","1983/84","191200","0.30990"
"Soja total","1983/84","7000000","11.34568"
"Sorgo","1983/84","6899865","11.18338"
"Trigo total","1983/84","12999720","21.07009"
"Tung","1983/84","66700","0.10811"
"Té","1983/84","178400","0.28915"
"Yerba mate","1983/84","181625","0.29438"
"Ajo","1984/85","36588","0.05751"
"Algodón","1984/85","536100","0.84264"
"Alpiste","1984/85","53000","0.08331"
"Arroz","1984/85","400000","0.62872"
"Avena","1984/85","717000","1.12698"
"Banana","1984/85","163400","0.25683"
"Caña de azúcar","1984/85","14105000","22.17024"
"Cebada cervecera","1984/85","200000","0.31436"
"Cebada forrajera","1984/85","24000","0.03772"
"Cebolla total","1984/85","326800","0.51366"
"Centeno","1984/85","155800","0.24489"
"Cártamo","1984/85","5770","0.00907"
"Girasol","1984/85","3400000","5.34412"
"Limón","1984/85","460000","0.72303"
"Lino","1984/85","500000","0.78590"
"Mandarina","1984/85","283500","0.44561"
"Maní","1984/85","240000","0.37723"
"Maíz","1984/85","11899730","18.70399"
"Mijo","1984/85","158000","0.24834"
"Naranja","1984/85","620800","0.97577"
"Papa total","1984/85","2243180","3.52583"
"Pomelo","1984/85","173700","0.27302"
"Poroto total","1984/85","198300","0.31169"
"Soja total","1984/85","6500000","10.21670"
"Sorgo","1984/85","6199700","9.74469"
"Trigo total","1984/85","13600000","21.37648"
"Tung","1984/85","66500","0.10452"
"Té","1984/85","200000","0.31436"
"Yerba mate","1984/85","154469","0.24279"
"Ajo","1985/86","31695","0.05514"
"Algodón","1985/86","376600","0.65520"
"Alpiste","1985/86","23500","0.04088"
"Arroz","1985/86","438600","0.76307"
"Avena","1985/86","400000","0.69591"
"Banana","1985/86","190000","0.33056"
"Caña de azúcar","1985/86","14465000","25.16585"
"Cebada cervecera","1985/86","100000","0.17398"
"Cebada forrajera","1985/86","18000","0.03132"
"Cebolla total","1985/86","323040","0.56202"
"Centeno","1985/86","94000","0.16354"
"Cártamo","1985/86","10400","0.01809"
"Girasol","1985/86","4100000","7.13308"
"Limón","1985/86","481000","0.83683"
"Lino","1985/86","460000","0.80030"
"Mandarina","1985/86","259100","0.45078"
"Maní","1985/86","259000","0.45060"
"Maíz","1985/86","12099500","21.05041"
"Mijo","1985/86","107000","0.18616"
"Naranja","1985/86","623200","1.08423"
"Papa total","1985/86","2057540","3.57966"
"Pomelo","1985/86","177900","0.30951"
"Poroto total","1985/86","210500","0.36622"
"Soja total","1985/86","7100000","12.35240"
"Sorgo","1985/86","3999875","6.95888"
"Trigo total","1985/86","8700000","15.13604"
"Tung","1985/86","39500","0.06872"
"Té","1985/86","178000","0.30968"
"Yerba mate","1985/86","155740","0.27095"
"Ajo","1986/87","41696","0.08064"
"Algodón","1986/87","322800","0.62432"
"Alpiste","1986/87","57500","0.11121"
"Arroz","1986/87","371000","0.71754"
"Avena","1986/87","495000","0.95737"
"Banana","1986/87","243000","0.46998"
"Caña de azúcar","1986/87","14479000","28.00347"
"Cebada cervecera","1986/87","114900","0.22223"
"Cebada forrajera","1986/87","25000","0.04835"
"Cebolla total","1986/87","356800","0.69008"
"Centeno","1986/87","60000","0.11604"
"Cártamo","1986/87","3150","0.00609"
"Girasol","1986/87","2200000","4.25497"
"Limón","1986/87","528300","1.02177"
"Lino","1986/87","622000","1.20299"
"Mandarina","1986/87","303800","0.58757"
"Maní","1986/87","350000","0.67693"
"Maíz","1986/87","9249730","17.88967"
"Mijo","1986/87","76900","0.14873"
"Naranja","1986/87","642400","1.24245"
"Papa total","1986/87","2103300","4.06794"
"Pomelo","1986/87","174193","0.33690"
"Poroto total","1986/87","135255","0.26159"
"Soja total","1986/87","6666400","12.89332"
"Sorgo","1986/87","2996630","5.79571"
"Trigo total","1986/87","8700000","16.82645"
"Tung","1986/87","58700","0.11353"
"Té","1986/87","194850","0.37685"
"Yerba mate","1986/87","131995","0.25529"
"Ajo","1987/88","35992","0.06293"
"Algodón","1987/88","849400","1.48515"
"Alpiste","1987/88","48000","0.08393"
"Arroz","1987/88","383400","0.67036"
"Avena","1987/88","718000","1.25540"
"Banana","1987/88","323600","0.56581"
"Caña de azúcar","1987/88","13939000","24.37194"
"Cebada cervecera","1987/88","262000","0.45810"
"Cebada forrajera","1987/88","19700","0.03444"
"Cebolla total","1987/88","417400","0.72981"
"Centeno","1987/88","88300","0.15439"
"Cártamo","1987/88","6800","0.01189"
"Girasol","1987/88","2915000","5.09679"
"Limón","1987/88","516500","0.90309"
"Lino","1987/88","535000","0.93543"
"Mandarina","1987/88","285600","0.49936"
"Maní","1987/88","274100","0.47926"
"Maíz","1987/88","9199690","16.08540"
"Mijo","1987/88","80000","0.13988"
"Naranja","1987/88","650200","1.13686"
"Papa total","1987/88","2859030","4.99893"
"Pomelo","1987/88","176100","0.30791"
"Poroto total","1987/88","172300","0.30126"
"Soja total","1987/88","9900000","17.30987"
"Sorgo","1987/88","3200000","5.59511"
"Trigo total","1987/88","9000000","15.73624"
"Tung","1987/88","63500","0.11103"
"Té","1987/88","136800","0.23919"
"Yerba mate","1987/88","137401","0.24024"
"Ajo","1988/89","33100","0.07739"
"Algodón","1988/89","619350","1.44815"
"Alpiste","1988/89","59500","0.13912"
"Arroz","1988/89","490000","1.14571"
"Avena","1988/89","450000","1.05218"
"Banana","1988/89","209937","0.49087"
"Caña de azúcar","1988/89","10780000","25.20557"
"Cebada cervecera","1988/89","322500","0.75406"
"Cebada forrajera","1988/89","6300","0.01473"
"Cebolla total","1988/89","380352","0.88933"
"Centeno","1988/89","41200","0.09633"
"Cártamo","1988/89","17900","0.04185"
"Girasol","1988/89","3200000","7.48217"
"Limón","1988/89","301200","0.70426"
"Lino","1988/89","416000","0.97268"
"Mandarina","1988/89","303700","0.71010"
"Maní","1988/89","190200","0.44472"
"Maíz","1988/89","4899620","11.45619"
"Mijo","1988/89","30000","0.07015"
"Naranja","1988/89","680800","1.59183"
"Papa total","1988/89","2064575","4.82735"
"Pomelo","1988/89","154700","0.36172"
"Poroto total","1988/89","124800","0.29180"
"Soja total","1988/89","6500000","15.19816"
"Sorgo","1988/89","1500000","3.50727"
"Trigo total","1988/89","8540000","19.96805"
"Tung","1988/89","94530","0.22103"
"Té","1988/89","213226","0.49856"
"Yerba mate","1988/89","144838","0.33866"
"Ajo","1989/90","40330","0.07763"
"Algodón","1989/90","922950","1.77649"
"Alpiste","1989/90","56900","0.10952"
"Arroz","1989/90","428100","0.82401"
"Avena","1989/90","666600","1.28307"
"Banana","1989/90","200558","0.38603"
"Caña de azúcar","1989/90","12093000","23.27657"
"Cebada cervecera","1989/90","361100","0.69504"
"Cebada forrajera","1989/90","3670","0.00706"
"Cebolla total","1989/90","399231","0.76844"
"Centeno","1989/90","62500","0.12030"
"Girasol","1989/90","3900000","7.50671"
"Limón","1989/90","534100","1.02803"
"Lino","1989/90","486800","0.93699"
"Mandarina","1989/90","280400","0.53971"
"Maní","1989/90","234700","0.45175"
"Maíz","1989/90","5399580","10.39309"
"Mijo","1989/90","65300","0.12569"
"Naranja","1989/90","648300","1.24785"
"Papa total","1989/90","1598121","3.07606"
"Pomelo","1989/90","166580","0.32063"
"Poroto total","1989/90","207845","0.40006"
"Soja total","1989/90","10700000","20.59532"
"Sorgo","1989/90","2050000","3.94583"
"Trigo total","1989/90","10000000","19.24797"
"Tung","1989/90","73821","0.14209"
"Té","1989/90","217224","0.41811"
"Yerba mate","1989/90","155830","0.29994"
"Ajo","1990/91","73964","0.12723"
"Algodón","1990/91","789400","1.35788"
"Alpiste","1990/91","42200","0.07259"
"Arroz","1990/91","347600","0.59792"
"Avena","1990/91","275000","0.47304"
"Banana","1990/91","194200","0.33405"
"Caña de azúcar","1990/91","14416500","24.79844"
"Cebada cervecera","1990/91","323400","0.55629"
"Cebada forrajera","1990/91","3200","0.00550"
"Cebolla total","1990/91","498435","0.85738"
"Centeno","1990/91","55100","0.09478"
"Girasol","1990/91","4033400","6.93802"
"Limón","1990/91","656000","1.12841"
"Lino","1990/91","456800","0.78576"
"Mandarina","1990/91","346300","0.59569"
"Maní","1990/91","310600","0.53428"
"Maíz","1990/91","7683800","13.21723"
"Mijo","1990/91","136000","0.23394"
"Naranja","1990/91","773900","1.33122"
"Papa total","1990/91","1749842","3.00998"
"Pomelo","1990/91","203900","0.35074"
"Poroto total","1990/91","241578","0.41555"
"Soja total","1990/91","10861200","18.68282"
"Sorgo","1990/91","2252400","3.87445"
"Trigo total","1990/91","10992400","18.90850"
"Tung","1990/91","58650","0.10089"
"Té","1990/91","198173","0.34089"
"Yerba mate","1990/91","160761","0.27653"
"Ajo","1991/92","92340","0.15596"
"Algodón","1991/92","651960","1.10116"
"Alpiste","1991/92","32120","0.05425"
"Arroz","1991/92","700700","1.18349"
"Avena","1991/92","210000","0.35469"
"Banana","1991/92","182680","0.30855"
"Caña de azúcar","1991/92","12827500","21.66570"
"Cebada cervecera","1991/92","570100","0.96290"
"Cebada forrajera","1991/92","3260","0.00551"
"Cebolla total","1991/92","588671","0.99427"
"Centeno","1991/92","46000","0.07769"
"Colza","1991/92","57052","0.09636"
"Girasol","1991/92","3676900","6.21030"
"Limón","1991/92","660700","1.11593"
"Lino","1991/92","342900","0.57916"
"Mandarina","1991/92","395300","0.66766"
"Maní","1991/92","221400","0.37395"
"Maíz","1991/92","10696000","18.06559"
"Mijo","1991/92","117000","0.19761"
"Naranja","1991/92","739000","1.24817"
"Papa total","1991/92","1628460","2.75048"
"Pomelo","1991/92","191900","0.32412"
"Poroto total","1991/92","210410","0.35538"
"Soja total","1991/92","11308100","19.09943"
"Sorgo","1991/92","2767000","4.67347"
"Trigo total","1991/92","9884000","16.69412"
"Tung","1991/92","32970","0.05569"
"Té","1991/92","199603","0.33713"
"Yerba mate","1991/92","172455","0.29128"
"Ajo","1992/93","76467","0.13643"
"Algodón","1992/93","430588","0.76822"
"Alpiste","1992/93","33242","0.05931"
