"year","semestre","region","indice"
"2019","1","CABA","230.06242"
"2019","1","Pampeana","138.94363"
"2019","1","NEA","118.42708"
"2019","1","NOA","129.20110"
"2019","1","Cuyo","127.87829"
"2019","1","Patagonia","147.68492"
"2019","2","Total","139.83589"
"2019","2","Partidos del GBA","122.45326"
"2019","2","CABA","242.54375"
"2019","2","Pampeana","139.45190"
"2019","2","NEA","117.87661"
"2019","2","NOA","122.11860"
"2019","2","Cuyo","123.50144"
"2019","2","Patagonia","148.18703"
"2020","1","Total","127.39462"
"2020","1","Partidos del GBA","110.39863"
"2020","1","CABA","210.14519"
"2020","1","Pampeana","126.19574"
"2020","1","NEA","112.23024"
"2020","1","NOA","122.16245"
"2020","1","Cuyo","122.64828"
"2020","1","Patagonia","136.21109"
"2020","2","Total","120.19583"
"2020","2","Partidos del GBA","102.85493"
"2020","2","CABA","196.96684"
"2020","2","Pampeana","123.44501"
"2020","2","NEA","109.28101"
"2020","2","NOA","116.13121"
"2020","2","Cuyo","112.15874"
"2020","2","Patagonia","126.85307"
"2021","1","Total","121.89040"
"2021","1","Partidos del GBA","107.29991"
"2021","1","CABA","213.17490"
"2021","1","Pampeana","117.79742"
"2021","1","NEA","103.71583"
"2021","1","NOA","110.02322"
"2021","1","Cuyo","114.65625"
"2021","1","Patagonia","129.02150"
"2021","2","Total","132.38982"
"2021","2","Partidos del GBA","117.05540"
"2021","2","CABA","235.14314"
"2021","2","Pampeana","127.89137"
"2021","2","NEA","111.86102"
"2021","2","NOA","115.24836"
"2021","2","Cuyo","117.24763"
"2021","2","Patagonia","137.35999"
"2022","1","Total","131.91539"
"2022","1","Partidos del GBA","115.81734"
"2022","1","CABA","221.03645"
"2022","1","Pampeana","130.31940"
"2022","1","NEA","116.61568"
"2022","1","NOA","122.40796"
"2022","1","Cuyo","124.37466"
"2022","1","Patagonia","134.98839"
"2022","2","Total","122.84538"
"2022","2","Partidos del GBA","107.48412"
"2022","2","CABA","206.93771"
"2022","2","Pampeana","124.90450"
"2022","2","NEA","105.20049"
"2022","2","NOA","108.92924"
"2022","2","Cuyo","113.90064"
"2022","2","Patagonia","132.35475"
"2023","1","Total","124.55385"
"2023","1","Partidos del GBA","111.37840"
"2023","1","CABA","203.51680"
"2023","1","Pampeana","124.74931"
"2023","1","NEA","107.10865"
"2023","1","NOA","112.04021"
"2023","1","Cuyo","112.50378"
"2023","1","Patagonia","131.82727"
"2023","2","Total","119.36497"
"2023","2","Partidos del GBA","106.34870"
"2023","2","CABA","201.00784"
"2023","2","Pampeana","119.91512"
"2023","2","NEA","104.50430"
"2023","2","NOA","103.93836"
"2023","2","Cuyo","104.07030"
"2023","2","Patagonia","129.33693"
"2024","1","Total","100.72057"
"2024","1","Partidos del GBA","90.28532"
"2024","1","CABA","172.27501"
"2024","1","Pampeana","101.26100"
"2024","1","NEA","79.33635"
"2024","1","NOA","87.05483"
"2024","1","Cuyo","89.75983"
"2024","1","Patagonia","104.50703"
"2024","2","Total","129.35797"
"2024","2","Partidos del GBA","113.67278"
"2024","2","CABA","232.38168"
"2024","2","Pampeana","129.72223"
"2024","2","NEA","103.06321"
"2024","2","NOA","111.47398"
"2024","2","Cuyo","112.50314"
"2024","2","Patagonia","137.21948"
"2025","1","Total","145.30003"
"2025","1","Partidos del GBA","130.17140"
"2025","1","CABA","241.12080"
"2025","1","Pampeana","146.36200"
"2025","1","NEA","119.30714"
"2025","1","NOA","132.31641"
"2025","1","Cuyo","125.91982"
"2025","1","Patagonia","157.94293"
"2025","2","Total","154.43376"
"2025","2","Partidos del GBA","132.96059"
"2025","2","CABA","267.48709"
"2025","2","Pampeana","158.43120"
"2025","2","NEA","127.31764"
"2025","2","NOA","142.44060"
"2025","2","Cuyo","137.29327"
"2025","2","Patagonia","166.05341"
