"anio","grupo_edad","poblacion","share"
"2052","65 y más","9911733","20.5263170647189"
"2052","menores de 20","9957577","20.6212559093705"
"2053","20 a 64","28280782","58.6047470065935"
"2053","65 y más","10096531","20.9224994167145"
"2053","menores de 20","9879498","20.472753576692"
"2054","20 a 64","28134478","58.3549554190773"
"2054","65 y más","10286934","21.3365812214107"
"2054","menores de 20","9791251","20.308463359512"
"2055","20 a 64","27985162","58.1128723825245"
"2055","65 y más","10476977","21.7560729988143"
"2055","menores de 20","9694424","20.1310546186612"
"2056","20 a 64","27824499","57.8617529421905"
"2056","65 y más","10673715","22.1962616579495"
"2056","menores de 20","9589681","19.94198539986"
"2057","20 a 64","27659483","57.6157354805893"
"2057","65 y más","10870239","22.6431135692155"
"2057","menores de 20","9477099","19.7411509501952"
"2058","20 a 64","27490364","57.3739096675302"
"2058","65 y más","11066020","23.0953956033133"
"2058","menores de 20","9358015","19.5306947291565"
"2059","20 a 64","27314442","57.1296450916402"
"2059","65 y más","11261942","23.5549658859089"
"2059","menores de 20","9234944","19.3153890224509"
"2060","20 a 64","27132235","56.8818019307779"
"2060","65 y más","11456284","24.017707253042"
"2060","menores de 20","9110805","19.1004908161801"
"2061","20 a 64","26951476","56.6468661506598"
"2061","65 y más","11640120","24.4653138706622"
"2061","menores de 20","8986457","18.887819978678"
"2062","20 a 64","26773886","56.4267791244897"
"2062","65 y más","11810608","24.8912156024692"
"2062","menores de 20","8864406","18.6820052730411"
"2063","20 a 64","26597799","56.2171637383238"
"2063","65 y más","11969400","25.2985489381844"
"2063","menores de 20","8745396","18.4842873234918"
"2064","20 a 64","26417101","56.0042913068494"
"2064","65 y más","12122581","25.6998887847262"
"2064","menores de 20","8630098","18.2958199084244"
"2065","20 a 64","26225280","55.7737792877004"
"2065","65 y más","12276318","26.1082684569097"
"2065","menores de 20","8519207","18.1179522553899"
"2066","20 a 64","26030443","55.5422533328466"
"2066","65 y más","12422308","26.5060021419784"
"2066","menores de 20","8413268","17.9517445251751"
"2067","20 a 64","25834181","55.3121873001333"
"2067","65 y más","12557845","26.8869322672177"
"2067","menores de 20","8314102","17.800880432649"
"2068","20 a 64","25631842","55.073881254935"
"2068","65 y más","12687363","27.2607143606869"
"2068","menores de 20","8221626","17.6654043843781"
"2069","20 a 64","25424854","54.8313063389516"
"2069","65 y más","12808639","27.6231442191976"
"2069","menores de 20","8135736","17.5455494418508"
"2070","20 a 64","25207929","54.572307601982"
"2070","65 y más","12928119","27.987911533035"
"2070","menores de 20","8055748","17.439780864983"
"2071","20 a 64","24976236","54.2853636101495"
"2071","65 y más","13050797","28.3656536776497"
"2071","menores de 20","7982120","17.3489827122008"
"2072","20 a 64","24734277","53.9806767753194"
"2072","65 y más","13171414","28.7456084448281"
"2072","menores de 20","7914922","17.2737147798525"
"2073","20 a 64","24484738","53.6627809663476"
"2073","65 y más","13288344","29.123835978048"
"2073","menores de 20","7853957","17.2133830556044"
"2074","20 a 64","24202078","53.276426960867"
"2074","65 y más","13426663","29.5563310988286"
"2074","menores de 20","7798626","17.1672419403044"
"2075","20 a 64","23913235","52.8808163074317"
"2075","65 y más","13560172","29.986447447582"
"2075","menores de 20","7747595","17.1327362449863"
"2076","20 a 64","23606726","52.44861816494"
"2076","65 y más","13701248","30.440965203525"
"2076","menores de 20","7701269","17.110416631535"
"2077","20 a 64","23290830","51.998892099156"
"2077","65 y más","13841618","30.9026685978875"
"2077","menores de 20","7658564","17.0984393029566"
"2078","20 a 64","22987835","51.5802534527526"
"2078","65 y más","13960380","31.3243913007353"
"2078","menores de 20","7618908","17.0953552465121"
"2079","20 a 64","22665094","51.1213344333904"
"2079","65 y más","14091032","31.7824562908765"
"2079","menores de 20","7579755","17.0962092757331"
"2080","20 a 64","22318775","50.6114100933625"
"2080","65 y más","14239424","32.2901829315125"
"2080","menores de 20","7540108","17.0984069751249"
"2081","20 a 64","21975937","50.1114216151229"
"2081","65 y más","14378747","32.7876555713726"
"2081","menores de 20","7499464","17.1009228135044"
"2082","20 a 64","21659502","49.6737020939048"
"2082","65 y más","14487994","33.2266317985649"
"2082","menores de 20","7456063","17.0996661075303"
"2083","20 a 64","21361282","49.2805005786305"
"2083","65 y más","14575579","33.6258764498954"
"2083","menores de 20","7409456","17.0936229714741"
"2084","20 a 64","21090683","48.9536399670849"
"2084","65 y más","14633003","33.9647018780413"
"2084","menores de 20","7359286","17.0816581548738"
"2085","20 a 64","20873824","48.7543615715041"
"2085","65 y más","14634981","34.1824840175951"
"2085","menores de 20","7305465","17.0631544109009"
"2086","20 a 64","20740519","48.7553372417962"
"2086","65 y más","14551584","34.2068289285493"
"2086","menores de 20","7247894","17.0378338296545"
"2087","20 a 64","20610579","48.7693630050643"
"2087","65 y más","14464544","34.2264327964161"
"2087","menores de 20","7186202","17.0042041985196"
"2088","20 a 64","20510477","48.8592360270242"
"2088","65 y más","14347018","34.1768910955101"
"2088","menores de 20","7121215","16.9638728774657"
"2089","20 a 64","20402447","48.9358109441073"
"2089","65 y más","14236173","34.1458390013514"
"2089","menores de 20","7053643","16.9183500545413"
"2090","20 a 64","20290588","49.0087536179139"
"2090","65 y más","14127794","34.1234850025362"
"2090","menores de 20","6983585","16.8677613795499"
"2091","20 a 64","20176211","49.0808576780453"
"2091","65 y más","14021317","34.108399448031"
"2091","menores de 20","6910578","16.8107428739237"
"2092","20 a 64","20057803","49.1471147250911"
"2092","65 y más","13917178","34.1009004732729"
"2092","menores de 20","6836780","16.751984801636"
"2093","20 a 64","19936057","49.2087693844133"
"2093","65 y más","13815291","34.1006984880491"
"2093","menores de 20","6761872","16.6905321275376"
"2094","20 a 64","19810474","49.2635866827771"
"2094","65 y más","13715223","34.106254960589"
"2094","menores de 20","6687522","16.6301583566339"
"2095","20 a 64","19679829","49.3072261996423"
"2095","65 y más","13618365","34.1204084407589"
"2095","menores de 20","6614473","16.5723653595987"
"2096","20 a 64","19544175","49.3402093607718"
"2096","65 y más","13524761","34.1439093384296"
"2096","menores de 20","6542114","16.5158813007986"
"2097","20 a 64","19403110","49.360229871905"
"2097","65 y más","13434093","34.1754449982786"
"2097","menores de 20","6471994","16.4643251298163"
"2098","20 a 64","19256770","49.3667106222013"
"2098","65 y más","13346761","34.2157946545907"
"2098","menores de 20","6404071","16.4174947232081"
"2099","20 a 64","19103952","49.356001256845"
"2099","65 y más","13262824","34.2651592724539"
"2099","menores de 20","6339666","16.378839470701"
"2100","20 a 64","18945770","49.3304994553686"
"2100","65 y más","13182104","34.3232169604409"
"2100","menores de 20","6277920","16.3462835841904"
"2101","20 a 64","18782812","49.2907175042582"
"2101","65 y más","13104186","34.3886064690023"
"2101","menores de 20","6219187","16.3206760267395"
