"ppg_label","programa_desc","porcentaje","nuevo_programa_desc"
"No PPG","Formulacion de Politicas contra la Violencia por Razones de Genero (PPG)",0.000443673370116677,"otros"
"No PPG","Formulacion de Politicas de Desarrollo de Mercados Agroindustriales Nacionales e Internacionales",0.000346113856621679,"otros"
"No PPG","Formulacion de Politicas en Materia de Manejo de las Vias Navegables",0,"otros"
"No PPG","Formulacion de Politicas para la Agricultura Familiar y Desarrollo Productivo",0.00845182773373336,"otros"
"No PPG","Formulacion y Ejecucion de la Politica de Energia Electrica",3.99946105777868,"Formulacion y Ejecucion de la Politica de Energia Electrica"
"No PPG","Formulacion y Ejecucion de la Politica Geologico - Minera",0.00297660198775097,"otros"
"No PPG","Formulacion y Ejecucion de Politica de Hidrocarburos",0.651686146896547,"Formulacion y Ejecucion de Politica de Hidrocarburos"
"No PPG","Formulacion y Ejecucion de Politicas de Desarrollo y Competitividad Federal",0.000178587327670479,"otros"
"No PPG","Formulacion y Ejecucion de Politicas de Gestion de Transporte",0.000917957310929433,"otros"
"No PPG","Formulacion y Ejecucion de Politicas de Movilidad Integral de Transporte",0.528052383449922,"Formulacion y Ejecucion de Politicas de Movilidad Integral de Transporte"
"No PPG","Formulacion y Ejecucion de Politicas de Transporte Terrestre",0.506016865238967,"Formulacion y Ejecucion de Politicas de Transporte Terrestre"
"No PPG","Formulacion y Ejecucion de Politicas Economicas",0.00382790070264996,"otros"
"No PPG","Formulacion y Ejecucion de Politicas para Restringir el Circulante de Armas de Fuego en la Sociedad Civil",0.00281303869785579,"otros"
"No PPG","Formulacion y Regulacion de la Politica Laboral",0.00937409825257123,"otros"
"No PPG","Formulacion, Coordinacion e Implementacion de Acciones de Articulacion en Ciencia y Tecnologia",1.73393153217404e-06,"otros"
"No PPG","Fortalecimiento de Integridad Publica y Proteccion de Derechos, Bienestar y Genero en el ambito de la Seguridad",0.000742977093705131,"otros"
"No PPG","Fortalecimiento de la Capacidad del Sistema Publico de  Salud",0.00229490641435634,"otros"
"No PPG","Fortalecimiento de la Gestion Publica",0.00114094214383013,"otros"
"No PPG","Fortalecimiento de la Infraestructura para el Transporte y la Movilidad Sostenible",0.00230996774748327,"otros"
"No PPG","Fortalecimiento de la Infraestructura Social, del Cuidado y Sanitaria",0.000421219841788764,"otros"
"No PPG","Fortalecimiento del Desarrollo Regional de Alimentos y Bioeconomia",0,"otros"
"No PPG","Fortalecimiento Edilicio de Jardines Infantiles",0.0132159115662405,"otros"
"No PPG","Fortalecimiento Estrategico y Articulacion Institucional",0.00429645406898557,"otros"
"No PPG","Fortalecimiento Territorial y Acompañamiento de Organizaciones Educativas",0.00102857799808989,"otros"
"No PPG","Fuerzas de Paz",0.00692657461352747,"otros"
"No PPG","Funciones Esenciales de Salud Publica (BCIE N°2215)",2.4197870953824e-06,"otros"
"No PPG","Generacion de Ciclos de Informacion Espacial Completos",0.0335914644361904,"otros"
"No PPG","Gestion de Espacios Culturales y Proyectos Especiales",0.0133429533682294,"otros"
"No PPG","Gestion de Museos Nacionales",0.0153245577848696,"otros"
"No PPG","Gestion de Organismos Estables",0.0104294788780348,"otros"
"No PPG","Gestion Educativa y Politicas Socioeducativas",0.429504622350588,"otros"
"No PPG","Gestion Productiva",0.00248346549149557,"otros"
"No PPG","Gestion y Asignacion de Becas a Estudiantes",0.384776314349472,"otros"
"No PPG","Gestion y Organizacion del Sistema de Contrataciones de la Administracion Publica Nacional",0.00143118376399354,"otros"
"No PPG","Gobierno Abierto y Pais Digital",0.00690263355147096,"otros"
"No PPG","Hidrografia Naval",0.00399951619189233,"otros"
"No PPG","Identificacion, Registro y Clasificacion del Potencial Humano Nacional",0.134570757146449,"otros"
"No PPG","Impresiones y Publicaciones Parlamentarias",0.0129255929806585,"otros"
"No PPG","Impulso al Desarrollo del Sistema Democratico y Relaciones con la Comunidad",0.00313762318314042,"otros"
"No PPG","Informacion e Inteligencia",0.0530881767639095,"otros"
"No PPG","Informacion y Evaluacion de la Calidad Educativa",0.0240507203221954,"otros"
"No PPG","Infraestructura en Areas Naturales Protegidas",0.00301406447705191,"otros"
"No PPG","Infraestructura y Equipamiento",0.0199882163574987,"otros"
"No PPG","Iniciativas Complementarias de Interior",0.00897584255286813,"otros"
"No PPG","Innovacion Administrativa",0.00538368055340255,"otros"
